	Date	Count	Order	Family	Guild	Genus	stage	farm	family_english	date	julian_date
812	4/2/18	18	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	LO2	Chironomidae	2018/4/2	92
817	4/2/18	38	雙翅目	搖蚊科	中性物種	克利搖蚊	分?期	LO2	Chironomidae	2018/4/2	92
824	4/2/18	1	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?期	LO2	Cicadellidae	2018/4/2	92
827	4/2/18	1	鞘翅目	瓢蟲科	掠食者	橙瓢蟲	分?期	LO2	Coccinellidae	2018/4/2	92
830	4/2/18	83	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	LO2	Chironomidae	2018/4/2	92
831	4/2/18	1	雙翅目	搖蚊科	中性物種	隱搖蚊2	分?期	LO2	Chironomidae	2018/4/2	92
833	4/2/18	20	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?期	LO2	Chironomidae	2018/4/2	92
837	4/2/18	1	雙翅目	日蠅科	中性物種		分?期	LO2	Heleomyzidae	2018/4/2	92
844	4/2/18	1	鞘翅目	出尾水蟲科	中性物種		分?期	LO2	Nitidulidae	2018/4/2	92
847	4/2/18	1	鞘翅目	步行蟲科	掠食者		分?期	LO2	Carabidae	2018/4/2	92
886	4/2/18	2	鞘翅目	隱翅蟲科	掠食者		分?期	LO2	Staphylinidae	2018/4/2	92
894	4/2/18	2	雙翅目	稈蠅科	中性物種	Mepachymerus	分?期	LO3	Chloropidae	2018/4/2	92
898	4/2/18	1011	雙翅目	搖蚊科	中性物種	小刺搖蚊	分?期	LO3	Chironomidae	2018/4/2	92
906	4/2/18	2	雙翅目	稻蝨科	稻害者	白背飛蝨	分?期	LO3	Delphacidae	2018/4/2	92
908	4/2/18	2130	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	LO3	Chironomidae	2018/4/2	92
911	4/2/18	43	雙翅目	搖蚊科	中性物種	克利搖蚊	分?期	LO3	Chironomidae	2018/4/2	92
925	4/2/18	1	半翅目	葉蟬科	稻害者	黑條黑尾葉蟬	分?期	LO3	Cicadellidae	2018/4/2	92
934	4/2/18	593	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	LO3	Chironomidae	2018/4/2	92
937	4/2/18	130	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?期	LO3	Chironomidae	2018/4/2	92
949	4/2/18	1	毛翅目	紋石蛾科	掠食者		分?期	LO3	Hydropsychidae	2018/4/2	92
951	4/2/18	1	雙翅目	蚜科	稻害者		分?期	LO3	Aphididae	2018/4/2	92
959	4/2/18	1	蜘蛛	皿網蛛科	掠食者		分?期	LC1	Linyphiidae	2018/4/2	92
960	4/2/18	1	鞘翅目	金花蟲科	植食者		分?期	LC1	Chrysomelidae	2018/4/2	92
961	4/2/18	35	雙翅目	渚蠅科	中性物種	Psilopa	分?期	LC1	Ephydridae	2018/4/2	92
962	4/2/18	1	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	LC1	Chironomidae	2018/4/2	92
963	4/2/18	1	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	LC1	Chironomidae	2018/4/2	92
964	4/2/18	1	雙翅目	糞蠅科	中性物種		分?期	LC1	Scathophagidae	2018/4/2	92
1030	4/2/18	1	雙翅目	長足虻科	掠食者	Medetera	分?期	LC2	Dolichopodidae	2018/4/2	92
1031	4/2/18	11	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	LC2	Chironomidae	2018/4/2	92
1032	4/2/18	45	雙翅目	搖蚊科	中性物種	克利搖蚊	分?期	LC2	Chironomidae	2018/4/2	92
1033	4/2/18	30	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	LC2	Chironomidae	2018/4/2	92
1034	4/2/18	63	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?期	LC2	Chironomidae	2018/4/2	92
1035	4/2/18	1	蜘蛛目	金蛛科	掠食者		分?期	LC2	Araneidae	2018/4/2	92
1036	4/2/18	2	毛翅目	姬石蛾科	掠食者		分?期	LC2	Hydroptilidae	2018/4/2	92
1037	4/2/18	1	半翅目	蚜科	稻害者		分?期	LC2	Aphididae	2018/4/2	92
1038	4/2/18	12	雙翅目	渚蠅科	中性物種		分?期	LC2	Ephydridae	2018/4/2	92
1039	4/2/18	6	雙翅目	搖蚊科	中性物種		分?期	LC2	Chironomidae	2018/4/2	92
1125	4/2/18	1	雙翅目	稈蠅科	中性物種	Mepachymerus	分?期	LC3	Chloropidae	2018/4/2	92
1126	4/2/18	8	雙翅目	搖蚊科	中性物種	隱搖蚊	分?期	LC3	Chironomidae	2018/4/2	92
1149	4/2/18	1	毛翅目	紋石蛾科	掠食者		分?期	LC3	Hydropsychidae	2018/4/2	92
1165	4/2/18	2	鞘翅目	金花蟲科	植食者		分?期	LC3	Chrysomelidae	2018/4/2	92
1168	4/2/18	1	半翅目	稻蝨科	稻害者	白背飛蝨	分?期	LC3	Delphacidae	2018/4/2	92
1169	4/2/18	1	半翅目	蚜科	稻害者		分?期	LC3	Aphididae	2018/4/2	92
1214	4/2/18	1	雙翅目	蠓科	掠食者	尼蠓	成活期	SO1	Ceratopogonidae	2018/4/2	92
1242	4/2/18	4	雙翅目	搖蚊科	中性物種	隱搖蚊	成活期	SO1	Chironomidae	2018/4/2	92
1273	4/2/18	1	雙翅目	桿蠅科	掠食者	Anatrichus	分?盛期	SC1	Chloropidae	2018/4/2	92
1278	4/2/18	36	雙翅目	渚蠅科	中性物種	Psilopa	分?盛期	SC1	Ephydridae	2018/4/2	92
1287	4/2/18	22	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	SC1	Chironomidae	2018/4/2	92
1291	4/2/18	1	雙翅目	搖蚊科	中性物種	克利搖蚊	分?盛期	SC1	Chironomidae	2018/4/2	92
1319	4/2/18	248	雙翅目	搖蚊科	中性物種	隱搖蚊	分?盛期	SC1	Chironomidae	2018/4/2	92
203	5/3/18	1	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?盛期	MO2	Cicadellidae	2018/5/3	123
213	5/3/18	1	纓翅目	薊馬科	稻害者	稻薊馬	分?盛期	MO2	Thripidae	2018/5/3	123
215	5/3/18	1	鞘翅目	瓢蟲科	掠食者	橙瓢蟲	分?盛期	MO2	Coccinellidae	2018/5/3	123
227	5/3/18	1	半翅目	木蝨科	植食者		分?盛期	MO2	Psyllidae	2018/5/3	123
233	5/3/18	1	半翅目	花椿科	掠食者		分?盛期	MO2	Anthocoridae	2018/5/3	123
243	5/3/18	1	蜘蛛目	紅螯蛛科	掠食者		分?盛期	MO2	Cheiracanthiidae	2018/5/3	123
249	5/3/18	1	半翅目	蚜科	植食者		分?盛期	MO2	Aphididae	2018/5/3	123
251	5/3/18	1	直翅目	蚤蝗科	植食者		分?盛期	MO2	Tridactylidae	2018/5/3	123
254	5/3/18	3	雙翅目	蚤蠅科	擬寄生者		分?盛期	MO2	Phoridae	2018/5/3	123
268	5/3/18	1	纓翅目	管薊馬科	稻害者		分?盛期	MO2	Phlaeothripidae	2018/5/3	123
274	5/3/18	1	蜘蛛目	貓蛛科	掠食者		分?盛期	MO2	Oxyopidae	2018/5/3	123
278	5/3/18	2	雙翅目	糞蠅科	中性物種		分?盛期	MO2	Scathophagidae	2018/5/3	123
306	5/3/18	3	半翅目	地緣椿科	植食者		分?期	MO3	Rhyparochromidae	2018/5/3	123
307	5/3/18	1	半翅目	盲椿科	植食者		分?期	MO3	Miridae	2018/5/3	123
308	5/3/18	1	膜翅目	金小蜂科	擬寄生者		分?期	MO3	Pteromalidae	2018/5/3	123
309	5/3/18	3	雙翅目	長足虻科	掠食者	Medetera	分?期	MO3	Dolichopodidae	2018/5/3	123
310	5/3/18	1	膜翅目	姬蜂科	擬寄生者		分?期	MO3	Ichneumonidae	2018/5/3	123
311	5/3/18	1	半翅目	蛛緣椿科	稻害者	禾蛛緣椿	分?期	MO3	Alydidae	2018/5/3	123
312	5/3/18	1	雙翅目	搖蚊科	中性物種	小刺搖蚊	分?期	MO3	Chironomidae	2018/5/3	123
313	5/3/18	1	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?期	MO3	Chironomidae	2018/5/3	123
314	5/3/18	4	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?期	MO3	Cicadellidae	2018/5/3	123
315	5/3/18	1	鱗翅目	蛺蝶科	稻害者	淡色樹蔭蝶	分?期	MO3	Nymphalidae	2018/5/3	123
316	5/3/18	4	半翅目	稻蝨科	稻害者	白背飛蝨	分?期	MO3	Delphacidae	2018/5/3	123
317	5/3/18	7	蜘蛛目	蟹蛛科	掠食者		分?期	MO3	Thomisidae	2018/5/3	123
417	5/3/18	2	雙翅目	長足虻科	掠食者	Medetera	分?盛期	MC1	Dolichopodidae	2018/5/3	123
422	5/3/18	1	蜘蛛目	長腳蛛科	掠食者	日本長腳蛛	分?盛期	MC1	Tetragnathidae	2018/5/3	123
481	5/3/18	1	半翅目	稻蝨科	稻害者	白背飛蝨	分?盛期	MC1	Delphacidae	2018/5/3	123
498	5/3/18	1	直翅目	蝗科	稻害者	小稻蝗	分?盛期	MC1	Acrididae	2018/5/3	123
508	5/3/18	1	鱗翅目	螟蛾科	稻害者	瘤野螟	分?盛期	MC1	Pyralidae	2018/5/3	123
536	5/3/18	1	雙翅目	沼蠅科	中性物種	長角沼蠅	分?盛期	MC2	Sciomyzidae	2018/5/3	123
546	5/3/18	1	蜘蛛目	長腳蛛科	掠食者	華麗長腳蛛	分?盛期	MC2	Tetragnathidae	2018/5/3	123
553	5/3/18	3	雙翅目	搖蚊科	中性物種	隱搖蚊	分?盛期	MC2	Chironomidae	2018/5/3	123
555	5/3/18	3	雙翅目	搖蚊科	中性物種	鹽埕搖蚊	分?盛期	MC2	Chironomidae	2018/5/3	123
571	5/3/18	4	蜘蛛目	金蛛科	掠食者		分?盛期	MC2	Araneidae	2018/5/3	123
580	5/3/18	1	雙翅目	家蠅科	中性物種		分?盛期	MC2	Muscidae	2018/5/3	123
586	5/3/18	2	雙翅目	寄蠅科	擬寄生者		分?盛期	MC2	Tachinidae	2018/5/3	123
589	5/3/18	1	雙翅目	渚蠅科	中性物種		分?盛期	MC2	Ephydridae	2018/5/3	123
590	5/3/18	1	蜘蛛目	袋蛛科	掠食者		分?盛期	MC2	Clubionidae 	2018/5/3	123
593	5/3/18	2	雙翅目	黑翅蕈蚋科	中性物種		分?盛期	MC2	Sciaridae	2018/5/3	123
601	5/3/18	5	半翅目	稻蝨科	稻害者		分?盛期	MC2	Delphacidae	2018/5/3	123
610	5/3/18	1	蜘蛛目	貓蛛科	掠食者		分?盛期	MC2	Oxyopidae	2018/5/3	123
618	5/3/18	1	纓翅目	薊馬科	稻害者		分?盛期	MC2	Thripidae	2018/5/3	123
619	5/3/18	2	蜘蛛目	蟹蛛科	掠食者		分?盛期	MC2	Thomisidae	2018/5/3	123
630	5/3/18	1	雙翅目	長足虻科	掠食者	Medetera	分?盛期	MC3	Dolichopodidae	2018/5/3	123
636	5/3/18	2	雙翅目	搖蚊科	中性物種	小刺搖蚊	分?盛期	MC3	Chironomidae	2018/5/3	123
640	5/3/18	2	半翅目	稻蝨科	稻害者	白背飛蝨	分?盛期	MC3	Delphacidae	2018/5/3	123
645	5/3/18	8	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	MC3	Chironomidae	2018/5/3	123
671	5/3/18	1	膜翅目	金小蜂科	擬寄生者		分?盛期	MC3	Pteromalidae	2018/5/3	123
685	5/3/18	2	雙翅目	蚤蠅科	擬寄生者		分?盛期	MC3	Phoridae	2018/5/3	123
718	5/3/18	21	雙翅目	渚蠅科	中性物種	Psilopa	分?盛期	LO1	Ephydridae	2018/5/3	123
725	5/3/18	1	蜘蛛目	長腳蛛科	掠食者	日本長腳蛛	分?盛期	LO1	Tetragnathidae	2018/5/3	123
732	5/3/18	1	半翅目	飛蝨科	稻害者	白背飛蝨	分?盛期	LO1	Cixiidae	2018/5/3	123
747	5/3/18	1	鞘翅目	隱翅蟲科	掠食者	紅胸隱翅蟲	分?盛期	LO1	Staphylinidae	2018/5/3	123
749	5/3/18	3	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?盛期	LO1	Cicadellidae	2018/5/3	123
754	5/3/18	1	膜翅目	緣腹細蜂科	擬寄生者	粒卵蜂	分?盛期	LO1	Scelionidae	2018/5/3	123
816	5/3/18	1	雙翅目	搖蚊科	中性物種	克利搖蚊	分?盛期	LO2	Chironomidae	2018/5/3	123
842	5/3/18	1	半翅目	木蝨科	植食者		分?盛期	LO2	Psyllidae	2018/5/3	123
861	5/3/18	1	半翅目	飛蝨科	稻害者		分?盛期	LO2	Cixiidae	2018/5/3	123
866	5/3/18	1	半翅目	蚜科	植食者		分?盛期	LO2	Aphididae	2018/5/3	123
869	5/3/18	2	雙翅目	渚蠅科	中性物種		分?盛期	LO2	Ephydridae	2018/5/3	123
887	5/3/18	1	蜘蛛目	蟹蛛科	掠食者		分?盛期	LO2	Thomisidae	2018/5/3	123
896	5/3/18	6	雙翅目	渚蠅科	中性物種	psilopa	分?盛期	LO3	Ephydridae	2018/5/3	123
903	5/3/18	2	半翅目	稻蝨科	稻害者	白背飛蝨	分?盛期	LO3	Delphacidae	2018/5/3	123
912	5/3/18	1	雙翅目	沼蠅科	中性物種	長角沼蠅	分?盛期	LO3	Sciomyzidae	2018/5/3	123
946	5/3/18	1	蜘蛛目	紅螯蛛科	掠食者		分?盛期	LO3	Cheiracanthiidae	2018/5/3	123
948	5/3/18	1	毛翅目	紋石蛾科	掠食者		分?盛期	LO3	Hydropsychidae	2018/5/3	123
957	5/3/18	1	雙翅目	蠓科 	中性物種		分?盛期	LO3	Ceratopogonidae	2018/5/3	123
971	5/3/18	1	雙翅目	虻科	掠食者		分?盛期	LC1	Tabanidae	2018/5/3	123
972	5/3/18	2	雙翅目	家蠅科	中性物種		分?盛期	LC1	Muscidae	2018/5/3	123
973	5/3/18	1	雙翅目	渚蠅科	掠食者	螳水蠅	分?盛期	LC1	Ephydridae	2018/5/3	123
1073	5/3/18	4	半翅目	稻蝨科	稻害者	白背飛蝨	分?盛期	LC2	Delphacidae	2018/5/3	123
1074	5/3/18	1	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	LC2	Chironomidae	2018/5/3	123
1075	5/3/18	3	雙翅目	搖蚊科	中性物種	克利搖蚊	分?盛期	LC2	Chironomidae	2018/5/3	123
1076	5/3/18	1	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	分?盛期	LC2	Cicadellidae	2018/5/3	123
1077	5/3/18	1	纓翅目	薊馬科	稻害者	稻薊馬	分?盛期	LC2	Thripidae	2018/5/3	123
1078	5/3/18	1	鞘翅目	瓢蟲科	掠食者	橙瓢蟲	分?盛期	LC2	Coccinellidae	2018/5/3	123
1079	5/3/18	1	半翅目	木蝨科	植食者		分?盛期	LC2	Psyllidae	2018/5/3	123
1080	5/3/18	1	膜翅目	赤眼蜂科	擬寄生者		分?盛期	LC2	Trichogrammatidae	2018/5/3	123
1081	5/3/18	1	雙翅目	長足虻科	掠食者		分?盛期	LC2	Dolichopodidae	2018/5/3	123
1082	5/3/18	6	雙翅目	渚蠅科	中性物種		分?盛期	LC2	Ephydridae	2018/5/3	123
1083	5/3/18	1	蜘蛛目	蟹蛛科	掠食者		分?盛期	LC2	Thomisidae	2018/5/3	123
1134	5/3/18	2	雙翅目	沼蠅科	中性物種	長角沼蠅	分?盛期	LC3	Sciomyzidae	2018/5/3	123
1135	5/3/18	2	雙翅目	蠓科	中性物種	鋏蠓	分?盛期	LC3	Ceratopogonidae	2018/5/3	123
1136	5/3/18	1	雙翅目	日蠅科	中性物種		分?盛期	LC3	Heleomyzidae	2018/5/3	123
1137	5/3/18	2	雙翅目	家蠅科	中性物種		分?盛期	LC3	Muscidae	2018/5/3	123
1138	5/3/18	1	雙翅目	蚋科	中性物種		分?盛期	LC3	Simuliidae	2018/5/3	123
1139	5/3/18	3	雙翅目	廁蠅科	中性物種		分?盛期	LC3	Fanniidae	2018/5/3	123
1174	5/3/18	1	半翅目	稻蝨科	稻害者	白背飛蝨	分?盛期	LC3	Delphacidae	2018/5/3	123
1192	5/3/18	1	膜翅目	金小蜂科	擬寄生者	trichomalopsis	分?盛期	LC3	Pteromalidae	2018/5/3	123
1209	5/3/18	2	雙翅目	渚蠅科	中性物種	Psilopa	分?盛期	SO1	Ephydridae	2018/5/3	123
1215	5/3/18	1	半翅目	飛蝨科	稻害者	白背飛蝨	分?盛期	SO1	Cixiidae	2018/5/3	123
1241	5/3/18	1	雙翅目	渚蠅科	掠食者	螳水蠅	分?盛期	SO1	Ephydridae	2018/5/3	123
1258	5/3/18	2	雙翅目	家蠅科	中性物種		分?盛期	SO1	Muscidae	2018/5/3	123
1260	5/3/18	1	雙翅目	寄蠅科	擬寄生者		分?盛期	SO1	Tachinidae	2018/5/3	123
1289	5/3/18	1	雙翅目	搖蚊科	中性物種	池畔搖蚊	分?盛期	SC1	Chironomidae	2018/5/3	123
1296	5/3/18	2	雙翅目	沼蠅科	中性物種	長角沼蠅	分?盛期	SC1	Sciomyzidae	2018/5/3	123
1317	5/3/18	2	雙翅目	渚蠅科	掠食者	螳水蠅	分?盛期	SC1	Ephydridae	2018/5/3	123
1328	5/3/18	1	雙翅目	果實蠅科	中性物種		分?盛期	SC1	Tephritidae	2018/5/3	123
1339	5/3/18	1	膜翅目	姬蜂科	擬寄生者		分?盛期	SC1	Ichneumonidae	2018/5/3	123
108	6/2/18	1	雙翅目	稈蠅科	掠食者	Anatrichus	孕穗期	MO1	Chloropidae	2018/6/2	153
109	6/2/18	1	膜翅目	纓小蜂科	擬寄生者	Gonatocerus	孕穗期	MO1	Mymaridae	2018/6/2	153
110	6/2/18	1	鱗翅目	螟蛾科	稻害者	二化螟	孕穗期	MO1	Pyralidae	2018/6/2	153
111	6/2/18	2	直翅目	蝗科	稻害者	小稻蝗	孕穗期	MO1	Acrididae	2018/6/2	153
112	6/2/18	5	直翅目	蝗科	稻害者	台灣稻蝗	孕穗期	MO1	Acrididae	2018/6/2	153
113	6/2/18	2	雙翅目	渚蠅科	掠食者	泥渚蠅	孕穗期	MO1	Ephydridae	2018/6/2	153
114	6/2/18	1	蜻蛉目	細蟌科	掠食者	青紋細蟌	孕穗期	MO1	Coenagrionidae	2018/6/2	153
115	6/2/18	1	鱗翅目	蛺蝶科	稻害者	淡色樹蔭蝶	孕穗期	MO1	Nymphalidae	2018/6/2	153
116	6/2/18	2	半翅目	稻蝨科	稻害者	斑飛蝨	孕穗期	MO1	Delphacidae	2018/6/2	153
117	6/2/18	3	半翅目	葉蟬科	稻害者	黑條黑尾葉蟬	孕穗期	MO1	Cicadellidae	2018/6/2	153
118	6/2/18	1	半翅目	蔓椿科	稻害者	稻赤蔓椿	孕穗期	MO1	Pentatomidae	2018/6/2	153
119	6/2/18	1	雙翅目	大附蠅科	中性物種		孕穗期	MO1	Sphaeroceridae	2018/6/2	153
120	6/2/18	1	雙翅目	日蠅科	中性物種		孕穗期	MO1	Heleomyzidae	2018/6/2	153
121	6/2/18	1	鞘翅目	叩頭蟲科	中性物種		孕穗期	MO1	Elateridae	2018/6/2	153
122	6/2/18	1	膜翅目	姬蜂科	擬寄生者		孕穗期	MO1	Ichneumonidae	2018/6/2	153
123	6/2/18	1	雙翅目	渚蠅科	中性物種		孕穗期	MO1	Ephydridae	2018/6/2	153
124	6/2/18	3	雙翅目	稈蠅科	中性物種		孕穗期	MO1	Chloropidae	2018/6/2	153
125	6/2/18	1	雙翅目	舞虻科	掠食者		孕穗期	MO1	Empididae	2018/6/2	153
126	6/2/18	1	雙翅目	縞蠅科	中性物種		孕穗期	MO1	Lauxaniidae	2018/6/2	153
127	6/2/18	1	蜘蛛目	蟹蛛科	掠食者		孕穗期	MO1	Thomisidae	2018/6/2	153
189	6/2/18	72	半翅目	稻蝨科	稻害者	白背飛蝨	乳熟期	MO2	Delphacidae	2018/6/2	153
191	6/2/18	3	半翅目	蛛緣椿科	稻害者	禾蛛緣椿	乳熟期	MO2	Alydidae	2018/6/2	153
199	6/2/18	3	雙翅目	沼蠅科	中性物種	長角沼蠅	乳熟期	MO2	Sciomyzidae	2018/6/2	153
200	6/2/18	8	半翅目	椿象科	稻害者	南方綠椿象	乳熟期	MO2	Pentatomidae	2018/6/2	153
206	6/2/18	44	半翅目	葉蟬科	稻害者	偽黑尾葉蟬	乳熟期	MO2	Cicadellidae	2018/6/2	153
209	6/2/18	1	蜘蛛目	長腳蛛科	掠食者	華麗長角蛛	乳熟期	MO2	Tetragnathidae	2018/6/2	153
212	6/2/18	1	半翅目	緣椿科	稻害者	稻刺緣椿	乳熟期	MO2	Coreidae	2018/6/2	153
216	6/2/18	3	鞘翅目	瓢蟲科	掠食者	橙瓢蟲	乳熟期	MO2	Coccinellidae	2018/6/2	153
226	6/2/18	4	雙翅目	日蠅科	中性物種		乳熟期	MO2	Heleomyzidae	2018/6/2	153
228	6/2/18	2	鞘翅目	出尾蟲科	中性物種		乳熟期	MO2	Nitidulidae	2018/6/2	153
229	6/2/18	1	鞘翅目	步行蟲科	掠食者		乳熟期	MO2	Carabidae	2018/6/2	153
234	6/2/18	4	雙翅目	花蠅科	中性物種		乳熟期	MO2	Anthomyiidae	2018/6/2	153
237	6/2/18	7	膜翅目	金小蜂科	擬寄生者		乳熟期	MO2	Pteromalidae	2018/6/2	153
240	6/2/18	1	蜘蛛目	金蛛科	掠食者		乳熟期	MO2	Araneidae	2018/6/2	153
242	6/2/18	4	雙翅目	長足虻科	掠食者		乳熟期	MO2	Dolichopodidae	2018/6/2	153
245	6/2/18	37	半翅目	荔椿科	植食者		乳熟期	MO2	Tessaratomidae	2018/6/2	153
248	6/2/18	1	雙翅目	蚊科	中性物種		乳熟期	MO2	Culicidae	2018/6/2	153
253	6/2/18	1	直翅目	蚤蝗科	植食者		乳熟期	MO2	Tridactylidae	2018/6/2	153
256	6/2/18	4	雙翅目	寄生蠅科	擬寄生者		乳熟期	MO2	Tachinidae	2018/6/2	153
265	6/2/18	1	蜘蛛目	跳蛛科	掠食者		乳熟期	MO2	Salticidae	2018/6/2	153
273	6/2/18	3	鱗翅目	螟蛾科	稻害者		乳熟期	MO2	Pyralidae	2018/6/2	153
275	6/2/18	4	蜘蛛目	貓蛛科	掠食者		乳熟期	MO2	Oxyopidae	2018/6/2	153
287	6/2/18	1	膜翅目	蟻科	掠食者		乳熟期	MO2	Formicidae	2018/6/2	153
325	6/2/18	1	半翅目	地緣椿科	植食者		分?盛期	MO3	Rhyparochromidae	2018/6/2	153
326	6/2/18	1	半翅目	盲椿科			分?盛期	MO3	Miridae	2018/6/2	153
327	6/2/18	6	膜翅目	金小蜂科	擬寄生者		分?盛期	MO3	Pteromalidae	2018/6/2	153
328	6/2/18	1	雙翅目	長足虻科	掠食者		分?盛期	MO3	Dolichopodidae	2018/6/2	153
329	6/2/18	1	半翅目	蛛緣椿科	稻害者		分?盛期	MO3	Alydidae	2018/6/2	153
330	6/2/18	4	半翅目	椿科	稻害者		分?盛期	MO3	Pentatomidae	2018/6/2	153
