"","Date","Count","Order","Family","Guild","Genus","stage","farm","family_english","date","julian_date"
"44","4/20/18",3,"雙翅目","長足虻科","掠食者","Medetera","分糵盛期","MO1","Dolichopodidae",2018-04-20,110
"45","4/20/18",3,"雙翅目","稈蠅科","中性物種","Mepachymerus","分糵盛期","MO1","Chloropidae",2018-04-20,110
"46","4/20/18",1,"膜翅目","小繭蜂科","擬寄生者","opius","分糵盛期","MO1","Braconidae",2018-04-20,110
"47","4/20/18",18,"雙翅目","渚蠅科","中性物種","Psilopa","分糵盛期","MO1","Ephydridae",2018-04-20,110
"48","4/20/18",4,"直翅目","蝗科","稻害者","小稻蝗","分糵盛期","MO1","Acrididae",2018-04-20,110
"49","4/20/18",7,"雙翅目","蠓科","中性物種","毛蠓","分糵盛期","MO1","Ceratopogonidae",2018-04-20,110
"50","4/20/18",3,"鞘翅目","象鼻蟲科","稻害者","水稻水象鼻蟲","分糵盛期","MO1","Curculionidae",2018-04-20,110
"51","4/20/18",15,"半翅目","稻蝨科","稻害者","白背飛蝨","分糵盛期","MO1","Delphacidae",2018-04-20,110
"52","4/20/18",1,"蜻蛉目","細蟌科","掠食者","白粉細蟌","分糵盛期","MO1","Coenagrionidae",2018-04-20,110
"53","4/20/18",3,"半翅目","葉蟬科","稻害者","白翅褐脈葉蟬","分糵盛期","MO1","Cicadellidae",2018-04-20,110
"54","4/20/18",342,"雙翅目","搖蚊科","中性物種","池畔搖蚊","分糵盛期","MO1","Chironomidae",2018-04-20,110
"55","4/20/18",23,"雙翅目","搖蚊科","中性物種","克利搖蚊","分糵盛期","MO1","Chironomidae",2018-04-20,110
"56","4/20/18",3,"雙翅目","渚蠅科","掠食者","泥渚蠅","分糵盛期","MO1","Ephydridae",2018-04-20,110
"57","4/20/18",6,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵盛期","MO1","Cicadellidae",2018-04-20,110
"58","4/20/18",1,"膜翅目","緣腹細蜂科","擬寄生者","粒卵蜂","分糵盛期","MO1","Scelionidae",2018-04-20,110
"59","4/20/18",1,"蜘蛛目","長腳蛛科","掠食者","華麗長腳蛛","分糵盛期","MO1","Tetragnathidae",2018-04-20,110
"60","4/20/18",24,"半翅目","葉蟬科","稻害者","黑唇斑葉蟬","分糵盛期","MO1","Cicadellidae",2018-04-20,110
"61","4/20/18",1,"半翅目","葉蟬科","稻害者","黑條黑尾葉蟬","分糵盛期","MO1","Cicadellidae",2018-04-20,110
"62","4/20/18",10,"半翅目","葉蟬科","稻害者","電光葉蟬","分糵盛期","MO1","Cicadellidae",2018-04-20,110
"63","4/20/18",2,"蜘蛛目","長腳蛛科","掠食者","綠鱗長腳蛛","分糵盛期","MO1","Tetragnathidae",2018-04-20,110
"64","4/20/18",1,"膜翅目","葉蜂科 ","植食者","樟葉蜂","分糵盛期","MO1","Tenthredinidae",2018-04-20,110
"65","4/20/18",2,"鞘翅目","瓢蟲科","掠食者","橙瓢蟲","分糵盛期","MO1","Coccinellidae",2018-04-20,110
"66","4/20/18",125,"雙翅目","搖蚊科","中性物種","隱搖蚊","分糵盛期","MO1","Chironomidae",2018-04-20,110
"67","4/20/18",1,"半翅目","地緣椿科","植食者","","分糵盛期","MO1","Rhyparochromidae",2018-04-20,110
"68","4/20/18",6,"半翅目","盲椿科","植食者","","分糵盛期","MO1","Miridae",2018-04-20,110
"69","4/20/18",2,"雙翅目","蚊科","中性物種","","分糵盛期","MO1","Culicidae",2018-04-20,110
"70","4/20/18",1,"蜘蛛目","蠅虎科","掠食者","","分糵盛期","MO1","Salticidae",2018-04-20,110
"71","5/3/18",1,"雙翅目","舞虻科","掠食者","drapetis","分糵盛期","MO1","Empididae",2018-05-03,123
"72","5/3/18",2,"雙翅目","渚蠅科","中性物種","Hydreilla","分糵盛期","MO1","Ephydridae",2018-05-03,123
"73","5/3/18",1,"雙翅目","長足虻科","掠食者","Medetera","分糵盛期","MO1","Dolichopodidae",2018-05-03,123
"74","5/3/18",4,"直翅目","蝗科","稻害者","小稻蝗","分糵盛期","MO1","Acrididae",2018-05-03,123
"75","5/3/18",1,"直翅目","蝗科","稻害者","台灣稻蝗","分糵盛期","MO1","Acrididae",2018-05-03,123
"76","5/3/18",1,"半翅目","稻蝨科","稻害者","白背飛蝨","分糵盛期","MO1","Delphacidae",2018-05-03,123
"77","5/3/18",1,"蜻蛉目","細蟌科","掠食者","青紋細蟌","分糵盛期","MO1","Coenagrionidae",2018-05-03,123
"78","5/3/18",1,"直翅目","菱蝗科","植食者","條背土蝗","分糵盛期","MO1","Tetrigidae",2018-05-03,123
"79","5/3/18",1,"鞘翅目","瓢蟲科","掠食者","橙瓢蟲","分糵盛期","MO1","Coccinellidae",2018-05-03,123
"80","5/3/18",1,"雙翅目","家蠅科","中性物種","","分糵盛期","MO1","Muscidae",2018-05-03,123
"81","5/18/18",3,"雙翅目","稈蠅科","掠食者","Anatrichus","分糵盛期","MO1","Chloropidae",2018-05-18,138
"82","5/18/18",1,"膜翅目","小繭蜂科","擬寄生者","Gardiochiles","分糵盛期","MO1","Braconidae",2018-05-18,138
"83","5/18/18",1,"膜翅目","纓小蜂科","擬寄生者","Gonatocerus","分糵盛期","MO1","Mymaridae",2018-05-18,138
"84","5/18/18",1,"膜翅目","緣腹細蜂科","擬寄生者","macroteleia","分糵盛期","MO1","Scelionidae",2018-05-18,138
"85","5/18/18",1,"膜翅目","釉小蜂科","擬寄生者","tetrastichus","分糵盛期","MO1","Eulophidae",2018-05-18,138
"86","5/18/18",1,"膜翅目","金小蜂科","擬寄生者","trichomalopsis","分糵盛期","MO1","Pteromalidae",2018-05-18,138
"87","5/18/18",1,"半翅目","花椿科","掠食者","小黑花椿象","分糵盛期","MO1","Anthocoridae",2018-05-18,138
"88","5/18/18",16,"直翅目","蝗科","稻害者","小稻蝗","分糵盛期","MO1","Acrididae",2018-05-18,138
"89","5/18/18",1,"蜘蛛目","長腳蛛科","掠食者","日本長腳蛛","分糵盛期","MO1","Tetragnathidae",2018-05-18,138
"90","5/18/18",15,"半翅目","稻蝨科","稻害者","白背飛蝨","分糵盛期","MO1","Delphacidae",2018-05-18,138
"91","5/18/18",3,"雙翅目","沼蠅科","中性物種","長角沼蠅","分糵盛期","MO1","Sciomyzidae",2018-05-18,138
"92","5/18/18",2,"半翅目","椿科","稻害者","南方綠椿象","分糵盛期","MO1","Pentatomidae",2018-05-18,138
"93","5/18/18",1,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵盛期","MO1","Cicadellidae",2018-05-18,138
"94","5/18/18",2,"鱗翅目","蛺蝶科","稻害者","淡色樹蔭蝶","分糵盛期","MO1","Nymphalidae",2018-05-18,138
"95","5/18/18",2,"蜘蛛目","長腳蛛科","掠食者","華麗長腳蛛","分糵盛期","MO1","Tetragnathidae",2018-05-18,138
"96","5/18/18",7,"半翅目","葉蟬科","稻害者","黑條黑尾葉蟬","分糵盛期","MO1","Cicadellidae",2018-05-18,138
"97","5/18/18",1,"雙翅目","頭蠅科","掠食者","葉蟬頭蠅","分糵盛期","MO1","Pipunculidae",2018-05-18,138
"98","5/18/18",4,"半翅目","蔓椿科","稻害者","稻赤蔓椿","分糵盛期","MO1","Pentatomidae",2018-05-18,138
"99","5/18/18",1,"雙翅目","渚蠅科","掠食者","螳水蠅","分糵盛期","MO1","Ephydridae",2018-05-18,138
"100","5/18/18",1,"蜘蛛目","蠅虎科","掠食者","蟻蛛","分糵盛期","MO1","Salticidae",2018-05-18,138
"101","5/18/18",1,"雙翅目","大附蠅科","中性物種","","分糵盛期","MO1","Sphaeroceridae",2018-05-18,138
"102","5/18/18",1,"雙翅目","日蠅科","中性物種","","分糵盛期","MO1","Heleomyzidae",2018-05-18,138
"103","5/18/18",1,"雙翅目","寄蠅科","擬寄生者","","分糵盛期","MO1","Tachinidae",2018-05-18,138
"104","5/18/18",1,"雙翅目","寄蠅科","擬寄生者","","分糵盛期","MO1","Tachinidae",2018-05-18,138
"105","5/18/18",2,"雙翅目","渚蠅科","中性物種","","分糵盛期","MO1","Ephydridae",2018-05-18,138
"106","5/18/18",1,"雙翅目","稈蠅科","中性物種","","分糵盛期","MO1","Chloropidae",2018-05-18,138
"107","5/18/18",2,"直翅目","蟋蟀科","植食者","","分糵盛期","MO1","Gryllidae",2018-05-18,138
"108","6/2/18",1,"雙翅目","稈蠅科","掠食者","Anatrichus","孕穗期","MO1","Chloropidae",2018-06-02,153
"109","6/2/18",1,"膜翅目","纓小蜂科","擬寄生者","Gonatocerus","孕穗期","MO1","Mymaridae",2018-06-02,153
"110","6/2/18",1,"鱗翅目","螟蛾科","稻害者","二化螟","孕穗期","MO1","Pyralidae",2018-06-02,153
"111","6/2/18",2,"直翅目","蝗科","稻害者","小稻蝗","孕穗期","MO1","Acrididae",2018-06-02,153
"112","6/2/18",5,"直翅目","蝗科","稻害者","台灣稻蝗","孕穗期","MO1","Acrididae",2018-06-02,153
"113","6/2/18",2,"雙翅目","渚蠅科","掠食者","泥渚蠅","孕穗期","MO1","Ephydridae",2018-06-02,153
"114","6/2/18",1,"蜻蛉目","細蟌科","掠食者","青紋細蟌","孕穗期","MO1","Coenagrionidae",2018-06-02,153
"115","6/2/18",1,"鱗翅目","蛺蝶科","稻害者","淡色樹蔭蝶","孕穗期","MO1","Nymphalidae",2018-06-02,153
"116","6/2/18",2,"半翅目","稻蝨科","稻害者","斑飛蝨","孕穗期","MO1","Delphacidae",2018-06-02,153
"117","6/2/18",3,"半翅目","葉蟬科","稻害者","黑條黑尾葉蟬","孕穗期","MO1","Cicadellidae",2018-06-02,153
"118","6/2/18",1,"半翅目","蔓椿科","稻害者","稻赤蔓椿","孕穗期","MO1","Pentatomidae",2018-06-02,153
"119","6/2/18",1,"雙翅目","大附蠅科","中性物種","","孕穗期","MO1","Sphaeroceridae",2018-06-02,153
"120","6/2/18",1,"雙翅目","日蠅科","中性物種","","孕穗期","MO1","Heleomyzidae",2018-06-02,153
"121","6/2/18",1,"鞘翅目","叩頭蟲科","中性物種","","孕穗期","MO1","Elateridae",2018-06-02,153
"122","6/2/18",1,"膜翅目","姬蜂科","擬寄生者","","孕穗期","MO1","Ichneumonidae",2018-06-02,153
"123","6/2/18",1,"雙翅目","渚蠅科","中性物種","","孕穗期","MO1","Ephydridae",2018-06-02,153
"124","6/2/18",3,"雙翅目","稈蠅科","中性物種","","孕穗期","MO1","Chloropidae",2018-06-02,153
"125","6/2/18",1,"雙翅目","舞虻科","掠食者","","孕穗期","MO1","Empididae",2018-06-02,153
"126","6/2/18",1,"雙翅目","縞蠅科","中性物種","","孕穗期","MO1","Lauxaniidae",2018-06-02,153
"127","6/2/18",1,"蜘蛛目","蟹蛛科","掠食者","","孕穗期","MO1","Thomisidae",2018-06-02,153
"128","6/16/18",1,"半翅目","花椿科","掠食者","小黑花椿象","抽穗期","MO1","Anthocoridae",2018-06-16,167
"129","6/16/18",5,"直翅目","蝗科","稻害者","台灣稻蝗","抽穗期","MO1","Acrididae",2018-06-16,167
"130","6/16/18",1,"半翅目","稻蝨科","稻害者","白背飛蝨","抽穗期","MO1","Delphacidae",2018-06-16,167
"131","6/16/18",1,"半翅目","蛛緣椿科","稻害者","禾蛛緣椿","抽穗期","MO1","Alydidae",2018-06-16,167
"132","6/16/18",2,"雙翅目","沼蠅科","中性物種","長腳沼蠅","抽穗期","MO1","Sciomyzidae",2018-06-16,167
"133","6/16/18",1,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","抽穗期","MO1","Cicadellidae",2018-06-16,167
"134","6/16/18",1,"膜翅目","緣腹細蜂科","擬寄生者","粒卵蜂","抽穗期","MO1","Scelionidae",2018-06-16,167
"135","6/16/18",1,"半翅目","稻蝨科","稻害者","斑飛蝨","抽穗期","MO1","Delphacidae",2018-06-16,167
"136","6/16/18",3,"半翅目","蔓椿科","稻害者","稻赤蔓椿","抽穗期","MO1","Pentatomidae",2018-06-16,167
"137","6/16/18",1,"膜翅目","小蜂科","擬寄生者","","抽穗期","MO1","Encyrtidae",2018-06-16,167
"138","6/16/18",1,"雙翅目","渚蠅科","中性物種","","抽穗期","MO1","Ephydridae",2018-06-16,167
"139","6/16/18",1,"雙翅目","稈蠅科","中性物種","","抽穗期","MO1","Chloropidae",2018-06-16,167
"140","6/16/18",1,"雙翅目","黑翅蕈蚋科","中性物種","","抽穗期","MO1","Sciaridae",2018-06-16,167
"141","6/16/18",1,"雙翅目","縞蠅科","中性物種","","抽穗期","MO1","Lauxaniidae",2018-06-16,167
"142","6/30/18",3,"雙翅目","稈蠅科","掠食者","Anatrichus","乳熟期","MO1","Chloropidae",2018-06-30,181
"143","6/30/18",8,"雙翅目","搖蚊科","中性物種","池畔搖蚊","乳熟期","MO1","Chironomidae",2018-06-30,181
"144","6/30/18",1,"雙翅目","沼蠅科","中性物種","長角沼蠅","乳熟期","MO1","Sciomyzidae",2018-06-30,181
"145","6/30/18",4,"雙翅目","渚蠅科","中性物種","","乳熟期","MO1","Ephydridae",2018-06-30,181
"146","6/30/18",40,"雙翅目","稈蠅科","中性物種","","乳熟期","MO1","Chloropidae",2018-06-30,181
"147","6/30/18",1,"雙翅目","黑翅蕈蚋科","中性物種","","乳熟期","MO1","Sciaridae",2018-06-30,181
"148","6/30/18",1,"雙翅目","縞蠅科","中性物種","","乳熟期","MO1","Lauxaniidae",2018-06-30,181
"149","6/30/18",1,"半翅目","花椿科","掠食者","小黑花椿象","乳熟期","MO1","Anthocoridae",2018-06-30,181
"150","6/30/18",1,"蜘蛛目","長腳蛛科","掠食者","爪哇長角蛛","乳熟期","MO1","Tetragnathidae",2018-06-30,181
"151","6/30/18",8,"鞘翅目","瓢蟲科","掠食者","橙瓢蟲","乳熟期","MO1","Coccinellidae",2018-06-30,181
"152","6/30/18",2,"蜘蛛目","金蛛科","掠食者","","乳熟期","MO1","Araneidae",2018-06-30,181
"153","6/30/18",3,"蜘蛛目","貓蛛科","掠食者","","乳熟期","MO1","Oxyopidae",2018-06-30,181
"154","6/30/18",4,"蜘蛛目","蟹蛛科","掠食者","","乳熟期","MO1","Thomisidae",2018-06-30,181
"155","6/30/18",1,"膜翅目","蟻科","掠食者","","乳熟期","MO1","Formicidae",2018-06-30,181
"156","6/30/18",6,"雙翅目","蠓科","掠食者","","乳熟期","MO1","Ceratopogonidae",2018-06-30,181
"157","6/30/18",4,"半翅目","椿科","植食者","黃斑椿象","乳熟期","MO1","Pentatomidae",2018-06-30,181
"158","6/30/18",1,"鞘翅目","金花蟲科","植食者","","乳熟期","MO1","Chrysomelidae",2018-06-30,181
"159","6/30/18",1,"鱗翅目","螟蛾科","稻害者","二化螟","乳熟期","MO1","Pyralidae",2018-06-30,181
"160","6/30/18",2,"直翅目","蝗科","稻害者","台灣稻蝗","乳熟期","MO1","Acrididae",2018-06-30,181
"161","6/30/18",2,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","乳熟期","MO1","Cicadellidae",2018-06-30,181
"162","6/30/18",4,"半翅目","稻蝨科","稻害者","斑飛蝨","乳熟期","MO1","Delphacidae",2018-06-30,181
"163","6/30/18",3,"鱗翅目","螟蛾科","稻害者","瘤野螟","乳熟期","MO1","Pyralidae",2018-06-30,181
"164","6/30/18",4,"半翅目","蔓椿科","稻害者","稻赤蔓椿","乳熟期","MO1","Pentatomidae",2018-06-30,181
"165","6/30/18",2,"半翅目","緣椿科","稻害者","稻刺緣椿","乳熟期","MO1","Coreidae",2018-06-30,181
"166","6/30/18",1,"纓翅目","薊馬科","稻害者","稻薊馬","乳熟期","MO1","Thripidae",2018-06-30,181
"167","6/30/18",1,"膜翅目","釉小蜂科","擬寄生者","pediobius","乳熟期","MO1","Eulophidae",2018-06-30,181
"168","6/30/18",8,"膜翅目","緣腹細蜂科","擬寄生者","粒卵蜂","乳熟期","MO1","Scelionidae",2018-06-30,181
"169","6/30/18",1,"膜翅目","金小蜂科","擬寄生者","","乳熟期","MO1","Pteromalidae",2018-06-30,181
"170","6/30/18",1,"雙翅目","頭蠅科","擬寄生者","","乳熟期","MO1","Pipunculidae",2018-06-30,181
"173","4/2/18",1,"膜翅目","纓小蜂科","擬寄生者","gonatocerus","分糵期","MO2","Mymaridae",2018-04-02,92
"174","3/15/18",1,"雙翅目","長足虻科","掠食者","Medetera","成活期","MO2","Dolichopodidae",2018-03-15,74
"175","3/15/18",1,"雙翅目","渚蠅科","中性物種","Notiphia","成活期","MO2","Ephydridae",2018-03-15,74
"176","4/2/18",1,"膜翅目","金小蜂科","擬寄生者","panstenon","分糵期","MO2","Pteromalidae",2018-04-02,92
"177","4/2/18",1,"雙翅目","搖蚊科","中性物種","小刺搖蚊","分糵期","MO2","Chironomidae",2018-04-02,92
"178","6/2/18",7,"半翅目","花椿科","掠食者","小黑花椿象","乳熟期","MO2","Anthocoridae",2018-06-02,153
"179","6/16/18",1,"半翅目","花椿科","掠食者","小黑花椿象","乳熟期","MO2","Anthocoridae",2018-06-16,167
"180","4/20/18",1,"直翅目","蝗科","稻害者","小稻蝗","分糵盛期","MO2","Acrididae",2018-04-20,110
"181","5/18/18",1,"直翅目","蝗科","稻害者","小稻蝗","孕穗期","MO2","Acrididae",2018-05-18,138
"182","4/2/18",2,"鞘翅目","象鼻蟲科","稻害者","水稻水象鼻蟲","分糵期","MO2","Curculionidae",2018-04-02,92
"183","5/18/18",4,"鞘翅目","象鼻蟲科","稻害者","水稻水象鼻蟲","孕穗期","MO2","Curculionidae",2018-05-18,138
"184","5/18/18",5,"直翅目","蝗科","稻害者","台灣稻蝗","孕穗期","MO2","Acrididae",2018-05-18,138
"185","6/2/18",2,"直翅目","蝗科","稻害者","台灣稻蝗","乳熟期","MO2","Acrididae",2018-06-02,153
"186","4/20/18",6,"半翅目","稻蝨科","稻害者","白背飛蝨","分糵盛期","MO2","Delphacidae",2018-04-20,110
"187","5/3/18",2,"半翅目","稻蝨科","稻害者","白背飛蝨","分糵盛期","MO2","Delphacidae",2018-05-03,123
"188","5/18/18",21,"半翅目","稻蝨科","稻害者","白背飛蝨","孕穗期","MO2","Delphacidae",2018-05-18,138
"189","6/2/18",72,"半翅目","稻蝨科","稻害者","白背飛蝨","乳熟期","MO2","Delphacidae",2018-06-02,153
"190","5/18/18",2,"半翅目","蛛緣椿科","稻害者","禾蛛元春","孕穗期","MO2","Alydidae",2018-05-18,138
"191","6/2/18",3,"半翅目","蛛緣椿科","稻害者","禾蛛緣椿","乳熟期","MO2","Alydidae",2018-06-02,153
"192","4/20/18",81,"雙翅目","搖蚊科","中性物種","池畔搖蚊","分糵盛期","MO2","Chironomidae",2018-04-20,110
"193","4/2/18",31,"雙翅目","搖蚊科","中性物種","池畔搖蚊","分糵期","MO2","Chironomidae",2018-04-02,92
"194","5/18/18",2,"雙翅目","搖蚊科","中性物種","池畔搖蚊","孕穗期","MO2","Chironomidae",2018-05-18,138
"195","4/20/18",20,"雙翅目","搖蚊科","中性物種","克利搖蚊","分糵盛期","MO2","Chironomidae",2018-04-20,110
"196","4/2/18",94,"雙翅目","搖蚊科","中性物種","克利搖蚊","分糵期","MO2","Chironomidae",2018-04-02,92
"197","5/18/18",1,"雙翅目","搖蚊科","中性物種","克利搖蚊","孕穗期","MO2","Chironomidae",2018-05-18,138
"198","5/18/18",8,"雙翅目","沼蠅科","中性物種","長角沼蠅","孕穗期","MO2","Sciomyzidae",2018-05-18,138
"199","6/2/18",3,"雙翅目","沼蠅科","中性物種","長角沼蠅","乳熟期","MO2","Sciomyzidae",2018-06-02,153
"200","6/2/18",8,"半翅目","椿象科","稻害者","南方綠椿象","乳熟期","MO2","Pentatomidae",2018-06-02,153
"201","4/20/18",2,"雙翅目","蠓科","中性物種","庫蠓","分糵盛期","MO2","Ceratopogonidae",2018-04-20,110
"202","4/20/18",2,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵盛期","MO2","Cicadellidae",2018-04-20,110
"203","5/3/18",1,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵盛期","MO2","Cicadellidae",2018-05-03,123
"204","4/2/18",1,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","分糵期","MO2","Cicadellidae",2018-04-02,92
"205","5/18/18",28,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","孕穗期","MO2","Cicadellidae",2018-05-18,138
"206","6/2/18",44,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","乳熟期","MO2","Cicadellidae",2018-06-02,153
"207","6/16/18",28,"半翅目","葉蟬科","稻害者","偽黑尾葉蟬","乳熟期","MO2","Cicadellidae",2018-06-16,167
"208","6/16/18",6,"半翅目","稻蝨科","稻害者","斑飛蝨","乳熟期","MO2","Delphacidae",2018-06-16,167
"209","6/2/18",1,"蜘蛛目","長腳蛛科","掠食者","華麗長角蛛","乳熟期","MO2","Tetragnathidae",2018-06-02,153
"210","4/20/18",11,"蜘蛛目","長腳蛛科","掠食者","華麗長腳蛛","分糵盛期","MO2","Tetragnathidae",2018-04-20,110
"211","5/18/18",1,"鱗翅目","螟蛾科","稻害者","瘤野螟","孕穗期","MO2","Pyralidae",2018-05-18,138
"212","6/2/18",1,"半翅目","緣椿科","稻害者","稻刺緣椿","乳熟期","MO2","Coreidae",2018-06-02,153
"213","5/3/18",1,"纓翅目","薊馬科","稻害者","稻薊馬","分糵盛期","MO2","Thripidae",2018-05-03,123
"214","5/18/18",2,"纓翅目","薊馬科","稻害者","稻薊馬","孕穗期","MO2","Thripidae",2018-05-18,138
"215","5/3/18",1,"鞘翅目","瓢蟲科","掠食者","橙瓢蟲","分糵盛期","MO2","Coccinellidae",2018-05-03,123
"216","6/2/18",3,"鞘翅目","瓢蟲科","掠食者","橙瓢蟲","乳熟期","MO2","Coccinellidae",2018-06-02,153
"217","4/20/18",15,"雙翅目","搖蚊科","中性物種","隱搖蚊","分糵盛期","MO2","Chironomidae",2018-04-20,110
"218","4/2/18",34,"雙翅目","搖蚊科","中性物種","隱搖蚊","分糵期","MO2","Chironomidae",2018-04-02,92
"219","4/20/18",9,"雙翅目","搖蚊科","中性物種","鹽埕搖蚊","分糵盛期","MO2","Chironomidae",2018-04-20,110
"220","4/2/18",105,"雙翅目","搖蚊科","中性物種","鹽埕搖蚊","分糵期","MO2","Chironomidae",2018-04-02,92
"221","5/18/18",1,"雙翅目","搖蚊科","中性物種","鹽埕搖蚊","孕穗期","MO2","Chironomidae",2018-05-18,138
"222","4/20/18",2,"膜翅目","小繭蜂科","擬寄生者","","分糵盛期","MO2","Braconidae",2018-04-20,110
"223","6/16/18",1,"膜翅目","小繭蜂科","擬寄生者","","乳熟期","MO2","Braconidae",2018-06-16,167
"224","4/20/18",5,"雙翅目","日蠅科","中性物種","","分糵盛期","MO2","Heleomyzidae",2018-04-20,110
"225","5/18/18",5,"雙翅目","日蠅科","中性物種","","孕穗期","MO2","Heleomyzidae",2018-05-18,138
"226","6/2/18",4,"雙翅目","日蠅科","中性物種","","乳熟期","MO2","Heleomyzidae",2018-06-02,153
"227","5/3/18",1,"半翅目","木蝨科","植食者","","分糵盛期","MO2","Psyllidae",2018-05-03,123
"228","6/2/18",2,"鞘翅目","出尾蟲科","中性物種","","乳熟期","MO2","Nitidulidae",2018-06-02,153
"229","6/2/18",1,"鞘翅目","步行蟲科","掠食者","","乳熟期","MO2","Carabidae",2018-06-02,153
"230","4/20/18",1,"膜翅目","赤眼蜂科","擬寄生者","","分糵盛期","MO2","Trichogrammatidae",2018-04-20,110
"231","5/18/18",1,"膜翅目","赤眼蜂科","擬寄生者","","孕穗期","MO2","Trichogrammatidae",2018-05-18,138
"232","4/20/18",1,"半翅目","花椿科","掠食者","","分糵盛期","MO2","Anthocoridae",2018-04-20,110
"233","5/3/18",1,"半翅目","花椿科","掠食者","","分糵盛期","MO2","Anthocoridae",2018-05-03,123
"234","6/2/18",4,"雙翅目","花蠅科","中性物種","","乳熟期","MO2","Anthomyiidae",2018-06-02,153
"235","4/20/18",3,"膜翅目","金小蜂科","擬寄生者","","分糵盛期","MO2","Pteromalidae",2018-04-20,110
"236","5/18/18",2,"膜翅目","金小蜂科","擬寄生者","","孕穗期","MO2","Pteromalidae",2018-05-18,138
"237","6/2/18",7,"膜翅目","金小蜂科","擬寄生者","","乳熟期","MO2","Pteromalidae",2018-06-02,153
"238","4/20/18",1,"鞘翅目","金花蟲科","植食者","","分糵盛期","MO2","Chrysomelidae",2018-04-20,110
"239","6/16/18",1,"鞘翅目","金花蟲科","植食者","","乳熟期","MO2","Chrysomelidae",2018-06-16,167
"240","6/2/18",1,"蜘蛛目","金蛛科","掠食者","","乳熟期","MO2","Araneidae",2018-06-02,153
"241","5/18/18",2,"雙翅目","長足虻科","掠食者","","孕穗期","MO2","Dolichopodidae",2018-05-18,138
"242","6/2/18",4,"雙翅目","長足虻科","掠食者","","乳熟期","MO2","Dolichopodidae",2018-06-02,153
"243","5/3/18",1,"蜘蛛目","紅螯蛛科","掠食者","","分糵盛期","MO2","Cheiracanthiidae",2018-05-03,123
