Farm,Stage,Family.ID,Count,Guild,Guild2,Date,Order,Family,family_english,Guild.C,Genus,stage.C,julian_date
MO2,Tillering,Cur,2,Rice.Herbivore,Rice.herb,20180402,鞘翅目,象鼻蟲科,Curculionidae,稻害者,水稻水象鼻蟲,分?期,92
MO2,Tillering,Chi,31,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
MO2,Tillering,Chi,94,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?期,92
MO2,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?期,92
MO2,Tillering,Chi,34,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
MO2,Tillering,Chi,105,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?期,92
MO2,Tillering,Eph,1,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,,分?期,92
MO2,Tillering,Sta,1,Predator,Predators,20180402,鞘翅目,隱翅蟲科,Staphylinidae,掠食者,,分?期,92
MO3,Seedling,Eph,1,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,成活期,92
MO3,Seedling,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,成活期,92
MC1,Tillering,Dol,2,Predator,Predators,20180402,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,分?期,92
MC1,Tillering,Sim,2,Neutral,Detritivores,20180402,雙翅目,蚋科,Simuliidae,中性物種,,分?期,92
MC1,Tillering,Chl,1,Neutral,Detritivores,20180402,雙翅目,桿蠅科,Chloropidae,中性物種,Mepachymerus,分?期,92
MC1,Tillering,Eph,1,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,,分?期,92
MC1,Tillering,Chi,38,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
MC1,Tillering,Chi,15,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
MC1,Tillering,Chi,3,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊2,分?期,92
MC1,Tillering,Del,1,Rice.Herbivore,Rice.herb,20180402,半翅目,稻蝨科,Delphacidae,稻害者,班飛蝨,分?期,92
MC1,Tillering,Del,2,Rice.Herbivore,Rice.herb,20180402,半翅目,稻蝨科,Delphacidae,稻害者,褐飛蝨,分?期,92
MC1,Tillering,Cer,7,Neutral,Detritivores,20180402,雙翅目,蠓科,Ceratopogonidae,中性物種,毛蠓,分?期,92
MC1,Tillering,Cer,4,Predator,Predators,20180402,雙翅目,蠓科,Ceratopogonidae,掠食者,尼蠓,分?期,92
MC2,Tillering,Chi,2,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,小刺搖蚊,分?盛期,92
MC2,Tillering,Cur,1,Rice.Herbivore,Rice.herb,20180402,鞘翅目,象鼻蟲科,Curculionidae,稻害者,水稻水象鼻蟲,分?盛期,92
MC2,Tillering,Chi,101,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?盛期,92
MC2,Tillering,Chi,103,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?盛期,92
MC2,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?盛期,92
MC2,Tillering,Tet,1,Predator,Predators,20180402,蜘蛛,長腳蛛科,Tetragnathidae,掠食者,華麗長腳蛛,分?盛期,92
MC2,Tillering,Chi,57,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?盛期,92
MC2,Tillering,Chi,298,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?盛期,92
MC2,Tillering,Hel,1,Neutral,Detritivores,20180402,雙翅目,日蠅科,Heleomyzidae,中性物種,,分?盛期,92
MC2,Tillering,Pte,1,Parasitoid,Parasitoid,20180402,膜翅目,金小蜂科,Pteromalidae,擬寄生者,,分?盛期,92
MC2,Tillering,Dol,4,Predator,Predators,20180402,雙翅目,長足虻科,Dolichopodidae,掠食者,,分?盛期,92
MC2,Tillering,Aph,1,Rice.Herbivore,Rice.herb,20180402,半翅目,蚜科,Aphididae,稻害者,,分?盛期,92
MC2,Tillering,Eph,4,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,,分?盛期,92
MC2,Tillering,Eul,1,Parasitoid,Parasitoid,20180402,膜翅目,釉小蜂科,Eulophidae,擬寄生者,,分?盛期,92
MC2,Tillering,Ara,1,Predator,Predators,20180402,蜘蛛,貓蛛科,Oxyopidae,掠食者,,分?盛期,92
MC3,Tillering,Dol,1,Predator,Predators,20180402,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,分?期,92
MC3,Tillering,Eph,1,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?期,92
MC3,Tillering,Chi,26,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LO1,Tillering,Dol,2,Predator,Predators,20180402,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,分?盛期,92
LO1,Tillering,Chl,1,Neutral,Detritivores,20180402,雙翅目,桿蠅科,Chloropidae,中性物種,Mepachymerus,分?盛期,92
LO1,Tillering,Eph,22,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?盛期,92
LO1,Tillering,Cer,1,Predator,Predators,20180402,雙翅目,蠓科,Ceratopogonidae,掠食者,尼蠓,分?盛期,92
LO1,Tillering,Chi,9,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?盛期,92
LO1,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?盛期,92
LO1,Tillering,Chi,1442,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?盛期,92
LO2,Tillering,Chi,18,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
LO2,Tillering,Chi,38,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?期,92
LO2,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?期,92
LO2,Tillering,Coc,1,Predator,Predators,20180402,鞘翅目,瓢蟲科,Coccinellidae,掠食者,橙瓢蟲,分?期,92
LO2,Tillering,Chi,83,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LO2,Tillering,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊2,分?期,92
LO2,Tillering,Chi,20,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?期,92
LO2,Tillering,Hel,1,Neutral,Detritivores,20180402,雙翅目,日蠅科,Heleomyzidae,中性物種,,分?期,92
LO2,Tillering,Nit,1,Neutral,Detritivores,20180402,鞘翅目,出尾水蟲科,Nitidulidae,中性物種,,分?期,92
LO2,Tillering,Car,1,Predator,Predators,20180402,鞘翅目,步行蟲科,Carabidae,掠食者,,分?期,92
LO2,Tillering,Sta,2,Predator,Predators,20180402,鞘翅目,隱翅蟲科,Staphylinidae,掠食者,,分?期,92
LO3,Tillering,Chl,2,Neutral,Detritivores,20180402,雙翅目,稈蠅科,Chloropidae,中性物種,Mepachymerus,分?期,92
LO3,Tillering,Chi,1011,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,小刺搖蚊,分?期,92
LO3,Tillering,Del,2,Rice.Herbivore,Rice.herb,20180402,雙翅目,稻蝨科,Delphacidae,稻害者,白背飛蝨,分?期,92
LO3,Tillering,Chi,2130,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
LO3,Tillering,Chi,43,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?期,92
LO3,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180402,半翅目,葉蟬科,Cicadellidae,稻害者,黑條黑尾葉蟬,分?期,92
LO3,Tillering,Chi,593,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LO3,Tillering,Chi,130,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?期,92
LC1,Tillering,Sct,1,Neutral,Detritivores,20180402,雙翅目,糞蠅科,Scathophagidae,中性物種,,分?期,92
LO3,Tillering,Aph,1,Rice.Herbivore,Rice.herb,20180402,雙翅目,蚜科,Aphididae,稻害者,,分?期,92
LC1,Tillering,Chr,1,Herbivore,Tour.herb,20180402,鞘翅目,金花蟲科,Chrysomelidae,植食者,,分?期,92
LC1,Tillering,Eph,35,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?期,92
LC1,Tillering,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
LC1,Tillering,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LC2,Tillering,Dol,1,Predator,Predators,20180402,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,分?期,92
LC2,Tillering,Chi,11,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,92
LC2,Tillering,Chi,45,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?期,92
LC2,Tillering,Chi,30,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LC2,Tillering,Chi,63,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?期,92
LC2,Tillering,Ara,1,Predator,Predators,20180402,蜘蛛目,金蛛科,Araneidae,掠食者,,分?期,92
LC2,Tillering,Aph,1,Rice.Herbivore,Rice.herb,20180402,半翅目,蚜科,Aphididae,稻害者,,分?期,92
LC2,Tillering,Eph,12,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,,分?期,92
LC2,Tillering,Chi,6,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,,分?期,92
LC3,Tillering,Chl,1,Neutral,Detritivores,20180402,雙翅目,稈蠅科,Chloropidae,中性物種,Mepachymerus,分?期,92
LC3,Tillering,Chi,8,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,92
LC3,Tillering,Chr,2,Herbivore,Tour.herb,20180402,鞘翅目,金花蟲科,Chrysomelidae,植食者,,分?期,92
LC3,Tillering,Del,1,Rice.Herbivore,Rice.herb,20180402,半翅目,稻蝨科,Delphacidae,稻害者,白背飛蝨,分?期,92
LC3,Tillering,Aph,1,Rice.Herbivore,Rice.herb,20180402,半翅目,蚜科,Aphididae,稻害者,,分?期,92
SO1,Seedling,Cer,1,Predator,Predators,20180402,雙翅目,蠓科,Ceratopogonidae,掠食者,尼蠓,成活期,92
SO1,Seedling,Chi,4,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,成活期,92
SC1,Tillering,Chl,1,Predator,Predators,20180402,雙翅目,桿蠅科,Chloropidae,掠食者,Anatrichus,分?盛期,92
SC1,Tillering,Eph,36,Neutral,Detritivores,20180402,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?盛期,92
SC1,Tillering,Chi,22,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?盛期,92
SC1,Tillering,Chi,1,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?盛期,92
SC1,Tillering,Chi,248,Neutral,Detritivores,20180402,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?盛期,92
LO3,Tillering,Hps,1,Predator,Predators,20180402,毛翅目,紋石蛾科,Hydropsychidae,掠食者,,分?期,92
LC1,Tillering,Ara,1,Predator,Predators,20180402,蜘蛛目,皿網蛛科,Linyphiidae,掠食者,,分?期,92
LC2,Tillering,Hpt,2,Predator,Predators,20180402,毛翅目,姬石蛾科,Hydroptilidae,掠食者,,分?期,92
LC3,Tillering,Hps,1,Predator,Predators,20180402,毛翅目,紋石蛾科,Hydropsychidae,掠食者,,分?期,92
MO2,Tillering,Hel,5,Neutral,Detritivores,20180420,雙翅目,日蠅科,Heleomyzidae,中性物種,,分?盛期,110
LO1,Tillering,Hel,2,Neutral,Detritivores,20180420,雙翅目,日蠅科,Heleomyzidae,中性物種,,分?盛期,110
LO1,Tillering,Sct,2,Neutral,Detritivores,20180420,雙翅目,糞蠅科,Scathophagidae,中性物種,,分?盛期,110
LO2,Tillering,Bae,1,Neutral,Detritivores,20180420,蜉蝣目,四節蜉蝣科,Baetidae,中性物種,,分?盛期,110
MO1,Tillering,Chl,6,Predator,Predators,20180420,雙翅目,稈蠅科,Chloropidae,掠食者,anatrichus,分?盛期,110
MO1,Tillering,Dol,2,Predator,Predators,20180420,雙翅目,長足虻科,Dolichopodidae,掠食者,Dolichopus,分?盛期,110
MO1,Tillering,Emp,3,Predator,Predators,20180420,雙翅目,舞虻科,Empididae,掠食者,Drapetis,分?盛期,110
MO1,Tillering,Eph,6,Neutral,Detritivores,20180420,雙翅目,渚蠅科,Ephydridae,中性物種,Hydreilla,分?盛期,110
MO1,Tillering,Sce,1,Parasitoid,Parasitoid,20180420,膜翅目,緣腹細蜂科,Scelionidae,擬寄生者,macroteleia,分?盛期,110
MO1,Tillering,Dol,3,Predator,Predators,20180420,雙翅目,長足虻科,Dolichopodidae,掠食者,Medetera,分?盛期,110
MO1,Tillering,Chl,3,Neutral,Detritivores,20180420,雙翅目,稈蠅科,Chloropidae,中性物種,Mepachymerus,分?盛期,110
MO1,Tillering,Bra,1,Parasitoid,Parasitoid,20180420,膜翅目,小繭蜂科,Braconidae,擬寄生者,opius,分?盛期,110
MO1,Tillering,Eph,18,Neutral,Detritivores,20180420,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?盛期,110
MO1,Tillering,Acr,4,Rice.Herbivore,Rice.herb,20180420,直翅目,蝗科,Acrididae,稻害者,小稻蝗,分?盛期,110
MO1,Tillering,Cer,7,Neutral,Detritivores,20180420,雙翅目,蠓科,Ceratopogonidae,中性物種,毛蠓,分?盛期,110
MO1,Tillering,Cur,3,Rice.Herbivore,Rice.herb,20180420,鞘翅目,象鼻蟲科,Curculionidae,稻害者,水稻水象鼻蟲,分?盛期,110
MO1,Tillering,Del,15,Rice.Herbivore,Rice.herb,20180420,半翅目,稻蝨科,Delphacidae,稻害者,白背飛蝨,分?盛期,110
MO1,Tillering,Coe,1,Predator,Predators,20180420,蜻蛉目,細蟌科,Coenagrionidae,掠食者,白粉細蟌,分?盛期,110
MO1,Tillering,Cic,3,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,白翅褐脈葉蟬,分?盛期,110
MO1,Tillering,Chi,342,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?盛期,110
MO1,Tillering,Chi,23,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?盛期,110
MO1,Tillering,Eph,3,Predator,Predators,20180420,雙翅目,渚蠅科,Ephydridae,掠食者,泥渚蠅,分?盛期,110
MO1,Tillering,Cic,6,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?盛期,110
MO1,Tillering,Sce,1,Parasitoid,Parasitoid,20180420,膜翅目,緣腹細蜂科,Scelionidae,擬寄生者,粒卵蜂,分?盛期,110
MO1,Tillering,Tet,1,Predator,Predators,20180420,蜘蛛目,長腳蛛科,Tetragnathidae,掠食者,華麗長腳蛛,分?盛期,110
MO1,Tillering,Cic,24,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,黑唇斑葉蟬,分?盛期,110
MO1,Tillering,Cic,1,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,黑條黑尾葉蟬,分?盛期,110
MO1,Tillering,Cic,10,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,電光葉蟬,分?盛期,110
MO1,Tillering,Tet,2,Predator,Predators,20180420,蜘蛛目,長腳蛛科,Tetragnathidae,掠食者,綠鱗長腳蛛,分?盛期,110
MO1,Tillering,Ten,1,Herbivore,Tour.herb,20180420,膜翅目,葉蜂科 ,Tenthredinidae,植食者,樟葉蜂,分?盛期,110
MO1,Tillering,Coc,2,Predator,Predators,20180420,鞘翅目,瓢蟲科,Coccinellidae,掠食者,橙瓢蟲,分?盛期,110
MO1,Tillering,Chi,125,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?盛期,110
LO2,Tillering,Ble,1,Neutral,Detritivores,20180420,雙翅目,網蚊科,Blephariceridae,中性物種,,分?盛期,110
MO1,Tillering,Mir,6,Herbivore,Tour.herb,20180420,半翅目,盲椿科,Miridae,植食者,,分?盛期,110
MO1,Tillering,Cul,2,Neutral,Detritivores,20180420,雙翅目,蚊科,Culicidae,中性物種,,分?盛期,110
MO1,Tillering,Ara,1,Predator,Predators,20180420,蜘蛛目,蠅虎科,Salticidae,掠食者,,分?盛期,110
MO2,Tillering,Acr,1,Rice.Herbivore,Rice.herb,20180420,直翅目,蝗科,Acrididae,稻害者,小稻蝗,分?盛期,110
MO2,Tillering,Del,6,Rice.Herbivore,Rice.herb,20180420,半翅目,稻蝨科,Delphacidae,稻害者,白背飛蝨,分?盛期,110
MO2,Tillering,Chi,81,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?盛期,110
MO2,Tillering,Chi,20,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?盛期,110
MO2,Tillering,Cer,2,Neutral,Detritivores,20180420,雙翅目,蠓科,Ceratopogonidae,中性物種,庫蠓,分?盛期,110
MO2,Tillering,Cic,2,Rice.Herbivore,Rice.herb,20180420,半翅目,葉蟬科,Cicadellidae,稻害者,偽黑尾葉蟬,分?盛期,110
MO2,Tillering,Tet,11,Predator,Predators,20180420,蜘蛛目,長腳蛛科,Tetragnathidae,掠食者,華麗長腳蛛,分?盛期,110
MO2,Tillering,Chi,15,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?盛期,110
MO2,Tillering,Chi,9,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,鹽埕搖蚊,分?盛期,110
MO2,Tillering,Bra,2,Parasitoid,Parasitoid,20180420,膜翅目,小繭蜂科,Braconidae,擬寄生者,,分?盛期,110
LC2,Tillering,Emr,1,Neutral,Detritivores,20180420,蜉蝣目,小蜉蝣科,Ephemerellidae,中性物種,,分?盛期,110
LC2,Tillering,Bae,1,Neutral,Detritivores,20180420,蜉蝣目,四節蜉蝣科,Baetidae,中性物種,,分?盛期,110
MO2,Tillering,Ant,1,Predator,Predators,20180420,半翅目,花椿科,Anthocoridae,掠食者,,分?盛期,110
MO2,Tillering,Pte,3,Parasitoid,Parasitoid,20180420,膜翅目,金小蜂科,Pteromalidae,擬寄生者,,分?盛期,110
MO2,Tillering,Chr,1,Herbivore,Tour.herb,20180420,鞘翅目,金花蟲科,Chrysomelidae,植食者,,分?盛期,110
MO2,Tillering,Ich,1,Parasitoid,Parasitoid,20180420,膜翅目,姬蜂科,Ichneumonidae,擬寄生者,,分?盛期,110
MO2,Tillering,Cul,1,Neutral,Detritivores,20180420,雙翅目,蚊科,Culicidae,中性物種,,分?盛期,110
MO2,Tillering,Eph,12,Neutral,Detritivores,20180420,雙翅目,渚蠅科,Ephydridae,中性物種,,分?盛期,110
MO2,Tillering,Chl,5,Neutral,Detritivores,20180420,雙翅目,稈蠅科,Chloropidae,中性物種,,分?盛期,110
MO2,Tillering,Pth,6,Rice.Herbivore,Rice.herb,20180420,纓翅目,管薊馬科,Phlaeothripidae,稻害者,,分?盛期,110
MO2,Tillering,Lau,1,Neutral,Detritivores,20180420,雙翅目,縞蠅科,Lauxaniidae,中性物種,,分?盛期,110
MO2,Tillering,For,1,Predator,Predators,20180420,膜翅目,蟻科,Formicidae,掠食者,,分?盛期,110
MO3,Tillering,Mir,1,Predator,Predators,20180420,半翅目,盲椿科,Miridae,掠食者,Tytthus chinensis,分?期,110
MO3,Tillering,Pte,1,Parasitoid,Parasitoid,20180420,膜翅目,金小蜂科,Pteromalidae,擬寄生者,,分?期,110
MO3,Tillering,Dol,2,Predator,Predators,20180420,雙翅目,長足虻科,Dolichopodidae,掠食者,,分?期,110
MO3,Tillering,Eph,26,Neutral,Detritivores,20180420,雙翅目,渚蠅科,Ephydridae,中性物種,Psilopa,分?期,110
MO3,Tillering,Aly,1,Rice.Herbivore,Rice.herb,20180420,半翅目,蛛緣椿科,Alydidae,稻害者,,分?期,110
MO3,Tillering,Chi,12,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,小刺搖蚊,分?期,110
MO3,Tillering,Chi,25,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,池畔搖蚊,分?期,110
MO3,Tillering,Chi,16,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,克利搖蚊,分?期,110
MO3,Tillering,Chi,38,Neutral,Detritivores,20180420,雙翅目,搖蚊科,Chironomidae,中性物種,隱搖蚊,分?期,110
