Date,Farm,Family.abbr ,Abundance,Num.of.capsule,Notes,d13C,C_amt,d15N,N_amt,Total_amt,Trophic
20180506,LO-1,Acr,3,2,,,,,,,
20180506,LO-1,Coc,6,3,,,,,,,
20180506,LO-1,Del,27,3,,,,,,,
20180506,LO-1,Sci,10,1,,,,,,,
20180506,LO-1,Mus,8,2,,,,,,,
20180506,LO-1,Ara,7,1,,,,,,,
20180506,LO-1,Tet,9,2,,,,,,,
20180506,LO-1,Eph,4,1,,,,,,,
20180506,LO-1,Ich,4,0,,,,,,,
20180506,LO-1,Cic,2,1,,,,,,,
20180506,LO-1,Pyl,2,1,,,,,,,
20180506,LO-2,Coc,1,1,,,,,,,
20180506,LO-2,Pyl,1,1,,,,,,,
20180506,LO-2,Del,10,2,,,,,,,
20180506,LO-2,Mus,3,1,,,,,,,
20180506,LO-2,Chi,18,1,,,,,,,
20180506,LO-2,Ich,3,1,,,,,,,
20180506,LO-2,Del,10,2,,,,,,,
20180506,LO-2,Tet,4,2,,,,,,,
20180506,LO-2,Ara,15,2,,,,,,,
20180506,LO-3,Chi,2,0,,,,,,,
20180506,LO-3,Mus,10,1,,,,,,,
20180506,LO-3,Coc,3,3,,,,,,,
20180506,LO-3,Ara,3,1,,,,,,,
20180506,LO-3,Cic,3,1,,,,,,,
20180506,LO-3,Del,10,2,,,,,,,
20180506,LO-3,Tet,4,2,,,,,,,
20180506,LC-1,Emp,1,0,,,,,,,
20180506,LC-1,Chi,6,1,,,,,,,
20180506,LC-1,Cic,4,1,,,,,,,
20180506,LC-1,Del,5,1,,,,,,,
20180506,LC-1,Coc,1,1,,,,,,,
20180506,LC-1,Mus,2,1,,,,,,,
20180506,LC-1,Sci,80,3,,,,,,,
20180506,LC-1,Ara,4,1,,,,,,,
20180506,LC-1,Tet,11,3,,,,,,,
20180506,LC-2,Ich,1,0,,,,,,,
20180506,LC-2,Del,10,2,,,,,,,
20180506,LC-2,Cic,7,2,,,,,,,
20180506,LC-2,Pyl,2,1,,,,,,,
20180506,LC-2,Chi,14,1,,,,,,,
20180506,LC-2,Ara,6,2,,,,,,,
20180506,LC-2,Tet,1,1,,,,,,,
20180506,LC-2,Sci,8,2,,,,,,,
20180506,LC-3,Sce,1,0,,,,,,,
20180506,LC-3,Ich,1,0,,,,,,,
20180506,LC-3,Coc,2,2,,,,,,,
20180506,LC-3,Cic,8,2,,,,,,,
20180506,LC-3,Del,36,3,,,,,,,
20180506,LC-3,Mus,3,1,,,,,,,
20180506,LC-3,Sci,3,1,,,,,,,
20180506,LC-3,Chi,36,1,,,,,,,
20180506,LC-3,Ara,8,2,,,,,,,
20180506,LC-3,Tet,4,2,,,,,,,
20180506,SO-1,Tet,1,1,,,,,,,
20180506,SO-1,Ara,1,1,,,,,,,
20180506,SO-1,Coc,1,1,,,,,,,
20180506,SO-1,Chi,20,1,,,,,,,
20180506,SO-1,Del,138,4,,,,,,,
20180506,SO-1,Mus,11,2,,,,,,,
20180506,SO-1,Eph,4,1,,,,,,,
20180506,SO-1,Ich,1,0,,,,,,,
20180506,SO-1,Sci,15,1,,,,,,,
20180506,SC-1,Cic,1,1,,,,,,,
20180506,SC-1,Pen,1,1,,,,,,,
20180506,SC-1,Coc,1,1,,,,,,,
20180506,SC-1,Pyl,1,1,,,,,,,
20180506,SC-1,Acr,2,1,,,,,,,
20180506,SC-1,Del,29,2,,,,,,,
20180506,SC-1,Tet,13,3,,,,,,,
20180506,SC-1,Ara,1,1,,,,,,,
20180506,SC-1,Ich,7,1,,,,,,,
20180506,SC-1,Dol,1,1,,,,,,,
20180506,SC-1,Sci,11,2,,,,,,,
20180506,SC-1,Eph,9,2,,,,,,,
20180506,SC-1,Mus,10,2,,,,,,,
20180506,SC-1,Chl,2,1,,,,,,,
20180608,MO-1,Chr,2,1,,,,,,,
20180608,MO-1,Del,5,1,,,,,,,
20180608,MO-1,Coc(Epi),1,0,,,,,,,
20180608,MO-1,Sce,2,0,,,,,,,
20180608,MO-1,Chl,1,0,,,,,,,
20180608,MO-1,Cur,1,0,,,,,,,
20180608,MO-1,Nit,1,0,,,,,,,
20180608,MO-1,Acr,18,3,,,,,,,
20180608,MO-1,Tet,3,3,,,,,,,
20180608,MO-2,Coc,1,0,,,,,,,
20180608,MO-2,Del,1,0,,,,,,,
20180608,MO-2,Ich,1,0,,,,,,,
20180608,MO-2,Del,15,1,,,,,,,
20180608,MO-2,Pyr,3,1,,,,,,,
20180608,MO-2,Acr,2,1,,,,,,,
20180608,MO-2,Cic,3,1,,,,,,,
20180608,MO-2,Tet,1,1,,,,,,,
20180608,MO-2,Pen,1,1,,,,,,,
20180608,MO-2,For,8,0,,,,,,,
20180608,MO-2,Ara,3,0,,,,,,,
20180608,MO-2,Chl,3,0,,,,,,,
20180608,MO-2,Str,2,0,,,,,,,
20180608,MO-2,Sce,1,0,,,,,,,
20180608,MO-2,Nit,1,0,,,,,,,
20180608,MO-3,Acr,1,0,,,,,,,
20180608,MO-3,Coc,1,1,,,,,,,
20180608,MO-3,Pyr,1,1,,,,,,,
20180608,MO-3,Dol,1,0,,,,,,,
20180608,MO-3,Mus,1,0,,,,,,,
20180608,MO-3,Pyl,2,1,,,,,,,
20180608,MO-3,Pen,2,2,,,,,,,
20180608,MO-3,Chl,6,1,,,,,,,
20180608,MO-3,Ich,3,0,,,,,,,
20180608,MO-3,Del,23,3,,,,,,,
20180608,MO-3,Cic,20,4,,,,,,,
20180608,MO-3,Sci,1,0,,,,,,,
20180608,MO-3,Lyg,4,0,,,,,,,
20180608,MC-1,Acr,3,1,,,,,,,
20180608,MC-1,Cic,5,2,,,,,,,
20180608,MC-1,Pen,8,3,,,,,,,
20180608,MC-1,Pyl,1,0,,,,,,,
20180608,MC-1,Tet,13,3,,,,,,,
20180608,MC-1,Del,17,2,,,,,,,
20180608,MC-1,Str,1,0,,,,,,,
20180608,MC-1,Sci,1,0,,,,,,,
20180608,MC-2,Pen,2,1,,,,,,,
20180608,MC-2,Api,1,0,,,,,,,
20180608,MC-2,Ara,3,1,,,,,,,
20180608,MC-2,Ich,1,0,,,,,,,
20180608,MC-2,Sci,1,0,,,,,,,
20180608,MC-2,Del,20,2,,,,,,,
20180608,MC-3,Pen,1,1,,,,,,,
20180608,MC-3,Tet,2,1,,,,,,,
20180608,MC-3,Chl,5,1,,,,,,,
20180608,MC-3,Sci,6,2,,,,,,,
20180608,MC-3,Cul,1,0,,,,,,,
20180608,MC-3,Del,30,3,,,,,,,
20180608,MC-3,Cic,4,2,,,,,,,
20180608,LO-1,For,2,0,,,,,,,
20180608,LO-1,Pyr,1,1,,,,,,,
20180608,LO-1,Ara,2,1,,,,,,,
20180608,LO-1,Coc,2,1,,,,,,,
20180608,LO-1,Pen,1,0,,,,,,,
20180608,LO-1,Cic,13,2,,,,,,,
20180608,LO-1,Del,21,2,,,,,,,
20180608,LO-1,Chl,1,0,,,,,,,
20180608,LO-1,Sci,1,0,,,,,,,
20180608,LO-2,Chl,3,0,,,,,,,
20180608,LO-2,Ara,3,1,,,,,,,
20180608,LO-2,Cic,20,3,,,,,,,
20180608,LO-2,Del,30,3,,,,,,,
20180608,LO-3,Cic,8,2,,,,,,,
20180608,LO-3,Del,6,1,,,,,,,
20180608,LC-1,Cic,18,4,,,,,,,
20180608,LC-1,Tet,1,1,,,,,,,
20180608,LC-1,Del,20,3,,,,,,,
20180608,LC-1,Sci,1,1,,,,,,,
20180608,LC-2,Cic,2,1,,,,,,,
20180608,LC-2,Ara,1,0,,,,,,,
20180608,LC-2,Tep,1,0,,,,,,,
20180608,LC-2,Eul,1,0,,,,,,,
20180608,LC-2,Del,18,2,,,,,,,
20180608,LC-3,Del,35,4,,,,,,,
20180608,LC-3,Cic,18,4,,,,,,,
20180608,LC-3,Coc,1,1,,,,,,,
20180608,LC-3,Tet,2,1,,,,,,,
20180608,LC-3,Sci,1,0,,,,,,,
20180608,LC-3,Ich,1,0,,,,,,,
20180608,SO-1,Cic,2,1,,,,,,,
20180608,SO-1,Coe,1,0,,,,,,,
20180608,SO-1,Tet,1,1,,,,,,,
20180608,SO-1,Ara,3,1,,,,,,,
20180608,SO-1,Del,53,4,,,,,,,
20180608,SO-1,Chl,6,1,,,,,,,
20180608,SO-1,Chi,5,1,,,,,,,
20180608,SO-1,Ich,2,0,,,,,,,
20180608,SO-1,Sci,6,2,,,,,,,
20180608,SO-1,Mus,2,1,,,,,,,
20180608,SC-1,Cic,2,1,,,,,,,
20180608,SC-1,Coc,3,2,,,,,,,
20180608,SC-1,Pyl,1,0,,,,,,,
20180608,SC-1,Tet,1,1,,,,,,,
20180608,SC-1,Ara,1,0,,,,,,,
20180608,SC-1,Hes,1,1,,,,,,,
20180608,SC-1,Chi,1,0,,,,,,,
20180608,SC-1,Cul,1,0,,,,,,,
20180608,SC-1,Chl,3,1,,,,,,,
20180608,SC-1,Del,74,4,,,,,,,
20180608,SC-1,Sci,11,3,,,,,,,
20180608,SC-1,Mus,4,2,,,,,,,
20180629,MO-1,Pen,10,3,,,,,,,
20180629,MO-1,Eph,4,1,,,,,,,
20180629,MO-1,Del,7,0,,,,,,,
20180629,MO-1,Coc,1,1,,,,,,,
20180629,MO-1,Pyl,1,0,,,,,,,
20180629,MO-1,Cic,2,1,,,,,,,
20180629,MO-1,Ara,4,1,,,,,,,
20180629,MO-2,For,12,0,,,,,,,
20180629,MO-2,Ich,2,0,,,,,,,
20180629,MO-2,Mus,2,1,,,,,,,
20180629,MO-2,Cic,1,0,,,,,,,
20180629,MO-2,Pyr,1,1,,,,,,,
20180629,MO-2,Del,9,2,,,,,,,
20180629,MO-2,Pen,1,1,,,,,,,
20180629,MO-2,Cic,50,4,,,,,,,
20180629,MO-3,For,2,0,,,,,,,
20180629,MO-3,Sce,1,0,,,,,,,
20180629,MO-3,Unk,1,0,*check ID from photo,,,,,,
20180629,MO-3,Acr,3,2,,,,,,,
20180629,MO-3,Pen,6,2,,,,,,,
20180629,MO-3,Cic,8,4,,,,,,,
20180629,MC-1,Ara,3,1,,,,,,,
20180629,MC-1,Ich,7,0,,,,,,,
20180629,MC-1,Pyr,1,1,,,,,,,
20180629,MC-1,Cic,3,2,,,,,,,
20180629,MC-1,Del,2,0,,,,,,,
20180629,MC-1,Pen,10,3,,,,,,,
20180629,MC-1,Aly,1,1,,,,,,,
20180629,MC-2,Pen,4,2,,,,,,,
20180629,MC-2,Coc,3,2,,,,,,,
20180629,MC-2,Del,3,1,,,,,,,
20180629,MC-2,Cic,14,2,,,,,,,
20180629,MC-3,Cic,28,3,,,,,,,
20180629,MC-3,Pen,1,1,,,,,,,
20180629,MC-3,Del,9,1,,,,,,,
20180629,MC-3,Ara,5,1,,,,,,,
20180629,MC-3,Chl,1,0,,,,,,,
20180629,MC-3,Sci,3,2,,,,,,,
20180629,MC-3,Ich,2,0,,,,,,,
20180629,LO-1,Pen,9,2,,,,,,,
20180629,LO-1,For,2,0,,,,,,,
20180629,LO-1,Ara,3,1,,,,,,,
20180629,LO-1,Pyr,1,1,,,,,,,
20180629,LO-1,Cic,68,4,,,,,,,
20180629,LO-1,For,2,0,,,,,,,
20180629,LO-1,Coc,1,1,,,,,,,
20180629,LO-2,Cic,18,2,,,,,,,
20180629,LO-2,Del,15,2,,,,,,,
20180629,LO-2,Coc,5,2,,,,,,,
20180629,LO-2,Ara,3,1,,,,,,,
20180629,LO-3,Mus,2,1,,,,,,,
20180629,LO-3,Chl,1,0,,,,,,,
20180629,LO-3,Sci,3,1,,,,,,,
20180629,LO-3,Ich,1,0,,,,,,,
20180629,LO-3,Coc,5,2,,,,,,,
20180629,LO-3,Ara,2,2,,,,,,,
20180629,LO-3,Del,5,1,,,,,,,
20180629,LO-3,Cic,21,3,,,,,,,
20180629,LC-1,Chl,3,0,,,,,,,
20180629,LC-1,Sci,2,1,,,,,,,
20180629,LC-1,Pen,1,1,,,,,,,
20180629,LC-1,Coc,8,3,,,,,,,
20180629,LC-1,Del,2,0,,,,,,,
20180629,LC-1,Cic,34,3,,,,,,,
20180629,LC-2,Del,6,1,,,,,,,
20180629,LC-2,Pen,1,1,,,,,,,
20180629,LC-2,Coc,1,1,,,,,,,
20180629,LC-2,Cic,10,2,,,,,,,
20180629,LC-2,Chl,1,0,,,,,,,
20180629,LC-3,Cic,72,3,,,,,,,
20180629,LC-3,Sta,1,0,,,,,,,
20180629,LC-3,Sci,1,0,,,,,,,
20180629,LC-3,Coc,3,1,,,,,,,
20180629,LC-3,Pen,2,2,,,,,,,
20180629,SC-1,Coc,5,2,,,,,,,
20180629,SC-1,Lyg,1,1,,,,,,,
20180629,SC-1,Del,1,0,,,,,,,
20180629,SC-1,Ich,1,0,,,,,,,
20180629,SC-1,Sci,1,0,,,,,,,
20180629,SO-1,Coc,2,2,,,,,,,
20180629,SO-1,Cic,2,1,,,,,,,
20180629,SO-1,Pen,1,1,,,,,,,
20180629,SO-1,Mus,1,1,,,,,,,
20180629,SO-1,Sci,1,1,,,,,,,
20180629,SO-1,Ich,2,0,,,,,,,
