Year,Predator,Farm_ID,Stage,Source,Mean,SD,Median,Lower,Upper
2018,Both,MO2,Tillering,Detritivore,0.387,0.271,0.306,0.051,0.955
2018,Both,MO2,Flowering,Rice herbivore,0.629,0.188,0.656,0.215,0.921
2018,Both,MO2,Flowering,Tourist herbivore,0.322,0.201,0.296,0.019,0.754
2018,Both,MO2,Flowering,Detritivore,0.049,0.08,0.019,0.002,0.303
2018,Both,MO3,Tillering,Rice herbivore,0.157,0.112,0.132,0.02,0.429
2018,Both,MO3,Tillering,Tourist herbivore,0.324,0.199,0.324,0.012,0.726
2018,Both,MO3,Tillering,Detritivore,0.519,0.236,0.5,0.102,0.946
2018,Both,MO3,Flowering,Rice herbivore,0.661,0.181,0.68,0.247,0.939
2018,Both,MO3,Flowering,Tourist herbivore,0.272,0.175,0.247,0.022,0.691
2018,Both,MO3,Flowering,Detritivore,0.066,0.085,0.033,0.003,0.336
2018,Both,SC1,Tillering,Rice herbivore,0.385,0.162,0.384,0.091,0.709
2018,Both,SC1,Tillering,Tourist herbivore,0.191,0.129,0.17,0.013,0.486
2018,Both,SC1,Tillering,Detritivore,0.424,0.198,0.404,0.094,0.831
2018,Both,SC1,Flowering,Rice herbivore,0.884,0.088,0.907,0.651,0.986
2018,Both,SC1,Flowering,Tourist herbivore,0.091,0.078,0.07,0.006,0.298
2018,Both,SC1,Flowering,Detritivore,0.025,0.037,0.014,0.002,0.116
2018,Both,SC1,Ripening,Rice herbivore,0.948,0.046,0.963,0.819,0.996
2018,Both,SC1,Ripening,Tourist herbivore,0.045,0.043,0.031,0.003,0.168
2018,Both,SC1,Ripening,Detritivore,0.007,0.014,0.003,0,0.039
2018,Both,SO1,Tillering,Rice herbivore,0.121,0.069,0.108,0.027,0.287
2018,Both,SO1,Tillering,Tourist herbivore,0.041,0.035,0.032,0.004,0.132
2018,Both,SO1,Tillering,Detritivore,0.838,0.082,0.85,0.651,0.96
2018,Both,SO1,Flowering,Rice herbivore,0.822,0.097,0.84,0.586,0.957
2018,Both,SO1,Flowering,Tourist herbivore,0.058,0.052,0.042,0.005,0.189
2018,Both,SO1,Flowering,Detritivore,0.12,0.08,0.101,0.021,0.325
2018,Both,SO1,Ripening,Rice herbivore,0.932,0.054,0.947,0.793,0.991
2018,Both,SO1,Ripening,Tourist herbivore,0.03,0.03,0.02,0.002,0.111
2018,Both,SO1,Ripening,Detritivore,0.038,0.042,0.024,0.002,0.157
2018,Spider,LC1,Tillering,Rice herbivore,0.12,0.104,0.088,0.007,0.373
2018,Spider,LC1,Tillering,Tourist herbivore,0.262,0.152,0.247,0.027,0.607
2018,Spider,LC1,Tillering,Detritivore,0.618,0.194,0.617,0.227,0.953
2018,Spider,LC1,Flowering,Rice herbivore,0.606,0.222,0.642,0.163,0.927
2018,Spider,LC1,Flowering,Tourist herbivore,0.282,0.173,0.249,0.04,0.684
2018,Spider,LC1,Flowering,Detritivore,0.112,0.139,0.053,0.006,0.521
2018,Spider,LC2,Tillering,Rice herbivore,0.297,0.162,0.285,0.034,0.65
2018,Spider,LC2,Tillering,Tourist herbivore,0.205,0.134,0.182,0.025,0.541
2018,Spider,LC2,Tillering,Detritivore,0.498,0.207,0.499,0.111,0.884
2018,Spider,LC3,Tillering,Rice herbivore,0.717,0.101,0.72,0.516,0.907
2018,Spider,LC3,Tillering,Tourist herbivore,0.094,0.062,0.081,0.014,0.243
2018,Spider,LC3,Tillering,Detritivore,0.189,0.101,0.178,0.031,0.413
2018,Spider,LC3,Flowering,Rice herbivore,0.975,0.017,0.978,0.935,0.996
2018,Spider,LC3,Flowering,Tourist herbivore,0.02,0.016,0.016,0.002,0.06
2018,Spider,LC3,Flowering,Detritivore,0.004,0.005,0.003,0,0.016
2018,Spider,LO1,Tillering,Rice herbivore,0.191,0.107,0.173,0.039,0.443
2018,Spider,LO1,Tillering,Tourist herbivore,0.38,0.14,0.372,0.119,0.677
2018,Spider,LO1,Tillering,Detritivore,0.429,0.177,0.424,0.103,0.787
2018,Spider,LO1,Flowering,Rice herbivore,0.708,0.14,0.729,0.38,0.915
2018,Spider,LO1,Flowering,Tourist herbivore,0.256,0.127,0.236,0.07,0.551
2018,Spider,LO1,Flowering,Detritivore,0.036,0.043,0.024,0.002,0.144
2018,Spider,LO1,Ripening,Rice herbivore,0.806,0.116,0.83,0.522,0.956
2018,Spider,LO1,Ripening,Tourist herbivore,0.175,0.106,0.153,0.037,0.432
2018,Spider,LO1,Ripening,Detritivore,0.019,0.033,0.009,0,0.088
2018,Spider,LO2,Tillering,Rice herbivore,0.332,0.115,0.328,0.115,0.568
2018,Spider,LO2,Tillering,Tourist herbivore,0.204,0.096,0.199,0.034,0.411
2018,Spider,LO2,Tillering,Detritivore,0.464,0.16,0.455,0.174,0.8
2018,Spider,LO2,Flowering,Rice herbivore,0.887,0.055,0.896,0.755,0.968
2018,Spider,LO2,Flowering,Tourist herbivore,0.088,0.047,0.08,0.018,0.195
2018,Spider,LO2,Flowering,Detritivore,0.025,0.026,0.017,0.002,0.097
2018,Spider,LO2,Ripening,Rice herbivore,0.934,0.038,0.941,0.842,0.985
2018,Spider,LO2,Ripening,Tourist herbivore,0.054,0.033,0.048,0.009,0.137
2018,Spider,LO2,Ripening,Detritivore,0.012,0.016,0.006,0,0.055
2018,Spider,LO3,Tillering,Rice herbivore,0.215,0.112,0.201,0.04,0.458
2018,Spider,LO3,Tillering,Tourist herbivore,0.171,0.105,0.156,0.018,0.416
2018,Spider,LO3,Tillering,Detritivore,0.614,0.169,0.624,0.273,0.914
2018,Spider,LO3,Ripening,Rice herbivore,0.9,0.07,0.917,0.71,0.982
2018,Spider,LO3,Ripening,Tourist herbivore,0.072,0.051,0.06,0.01,0.2
2018,Spider,LO3,Ripening,Detritivore,0.029,0.043,0.013,0.001,0.159
2018,Spider,MC1,Tillering,Rice herbivore,0.757,0.099,0.764,0.549,0.929
2018,Spider,MC1,Tillering,Tourist herbivore,0.12,0.08,0.104,0.015,0.307
2018,Spider,MC1,Tillering,Detritivore,0.123,0.077,0.107,0.021,0.316
2018,Spider,MC1,Flowering,Rice herbivore,0.972,0.022,0.977,0.915,0.996
2018,Spider,MC1,Flowering,Tourist herbivore,0.025,0.022,0.02,0.003,0.081
2018,Spider,MC1,Flowering,Detritivore,0.003,0.003,0.002,0,0.011
2018,Spider,MC1,Ripening,Rice herbivore,0.984,0.015,0.988,0.946,0.998
2018,Spider,MC1,Ripening,Tourist herbivore,0.015,0.015,0.011,0.001,0.052
2018,Spider,MC1,Ripening,Detritivore,0.001,0.002,0.001,0,0.007
2018,Spider,MC2,Tillering,Rice herbivore,0.773,0.104,0.787,0.54,0.936
2018,Spider,MC2,Tillering,Tourist herbivore,0.111,0.075,0.096,0.014,0.288
2018,Spider,MC2,Tillering,Detritivore,0.116,0.088,0.095,0.018,0.347
2018,Spider,MC2,Flowering,Rice herbivore,0.974,0.021,0.98,0.92,0.996
2018,Spider,MC2,Flowering,Tourist herbivore,0.023,0.021,0.018,0.002,0.075
2018,Spider,MC2,Flowering,Detritivore,0.003,0.004,0.002,0,0.012
2018,Spider,MC3,Tillering,Rice herbivore,0.251,0.119,0.241,0.056,0.515
2018,Spider,MC3,Tillering,Tourist herbivore,0.283,0.123,0.279,0.057,0.541
2018,Spider,MC3,Tillering,Detritivore,0.465,0.181,0.457,0.137,0.839
2018,Spider,MC3,Flowering,Rice herbivore,0.808,0.098,0.824,0.564,0.947
2018,Spider,MC3,Flowering,Tourist herbivore,0.158,0.084,0.144,0.035,0.358
2018,Spider,MC3,Flowering,Detritivore,0.035,0.042,0.022,0.002,0.153
2018,Spider,MC3,Ripening,Rice herbivore,0.881,0.073,0.899,0.695,0.975
2018,Spider,MC3,Ripening,Tourist herbivore,0.102,0.065,0.088,0.018,0.257
2018,Spider,MC3,Ripening,Detritivore,0.017,0.028,0.008,0,0.096
2018,Spider,MO1,Tillering,Rice herbivore,0.167,0.194,0.072,0.004,0.655
2018,Spider,MO1,Tillering,Tourist herbivore,0.181,0.185,0.109,0.006,0.658
2018,Spider,MO1,Tillering,Detritivore,0.652,0.306,0.754,0.086,0.987
2018,Spider,MO1,Flowering,Rice herbivore,0.607,0.26,0.61,0.188,0.974
2018,Spider,MO1,Flowering,Tourist herbivore,0.166,0.126,0.138,0.016,0.501
2018,Spider,MO1,Flowering,Detritivore,0.227,0.246,0.074,0.001,0.709
