"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1004.9","...","1006.5","2017-07-10 22:21","1003.6","2017-07-10 15:42","29.9","32.7","2017-07-10 09:42","27.5","2017-07-10 05:02","...","77","58","2017-07-10 09:41","2.9","175","10.9","233","2017-07-10 12:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1006.7","...","1009.2","2017-07-11 22:21","1005.0","2017-07-11 02:22","30.0","32.6","2017-07-11 10:35","27.7","2017-07-11 05:22","...","76","60","2017-07-11 09:03","2.5","186","8.4","277","2017-07-11 11:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1007.7","...","1008.6","2017-07-12 11:21","1006.5","2017-07-12 16:06","30.2","32.2","2017-07-12 13:11","27.6","2017-07-12 04:31","...","72","62","2017-07-12 09:13","2.1","178","7.6","298","2017-07-12 12:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1005.5","...","1007.0","2017-07-13 00:01","1003.5","2017-07-13 16:51","29.9","32.6","2017-07-13 15:53","27.5","2017-07-13 05:26","...","72","59","2017-07-13 08:05","2.1","173","6.9","291","2017-07-13 13:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1005.1","...","1006.2","2017-07-14 22:11","1003.7","2017-07-14 16:00","29.9","32.1","2017-07-14 15:24","27.7","2017-07-14 05:11","...","75","66","2017-07-14 07:41","2.0","295","7.8","298","2017-07-14 13:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1005.5","...","1006.7","2017-07-15 21:54","1004.0","2017-07-15 15:41","29.8","32.5","2017-07-15 13:21","27.0","2017-07-15 05:32","...","75","63","2017-07-15 16:31","2.1","3","8.9","14","2017-07-15 15:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1006.0","...","1007.2","2017-07-16 21:22","1003.8","2017-07-16 15:32","29.4","31.6","2017-07-16 17:17","27.0","2017-07-16 04:32","...","75","68","2017-07-16 00:45","2.1","326","7.7","153","2017-07-16 19:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1007.9","...","1009.5","2017-07-17 22:06","1005.6","2017-07-17 02:36","29.2","31.0","2017-07-17 09:11","26.5","2017-07-17 04:42","...","78","66","2017-07-17 09:19","1.3","294","4.8","304","2017-07-17 15:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1008.4","...","1009.7","2017-07-18 21:34","1006.5","2017-07-18 16:41","29.7","32.5","2017-07-18 14:41","27.5","2017-07-18 04:37","...","78","65","2017-07-18 15:43","2.0","44","8.3","320","2017-07-18 12:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1006.0","...","1008.6","2017-07-19 00:01","1004.0","2017-07-19 17:21","29.5","32.3","2017-07-19 14:51","27.0","2017-07-19 03:12","...","76","63","2017-07-19 22:14","1.9","179","7.5","11","2017-07-19 11:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1005.3","...","1006.5","2017-07-20 21:52","1003.7","2017-07-20 16:36","29.5","32.3","2017-07-20 15:22","26.7","2017-07-20 05:15","...","75","61","2017-07-20 16:21","1.8","120","7.9","318","2017-07-20 10:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1005.8","...","1007.3","2017-07-21 08:57","1004.1","2017-07-21 16:13","29.8","32.1","2017-07-21 13:32","27.0","2017-07-21 03:51","...","74","56","2017-07-21 08:41","1.8","118","7.0","319","2017-07-21 13:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1004.6","...","1006.2","2017-07-22 00:01","1003.0","2017-07-22 16:41","30.0","32.2","2017-07-22 11:01","27.7","2017-07-22 03:35","...","74","56","2017-07-22 11:01","1.8","92","6.3","13","2017-07-22 10:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1003.4","...","1004.6","2017-07-23 10:43","1002.1","2017-07-23 16:51","30.6","33.2","2017-07-23 16:11","28.5","2017-07-23 04:57","...","76","62","2017-07-23 15:41","2.0","173","7.3","284","2017-07-23 11:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1002.0","...","1003.5","2017-07-24 08:35","1000.0","2017-07-24 16:43","30.2","32.0","2017-07-24 13:42","28.5","2017-07-24 04:47","...","73","65","2017-07-24 14:03","2.1","294","6.9","314","2017-07-24 13:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1001.2","...","1002.2","2017-07-25 21:51","999.6","2017-07-25 15:53","30.1","34.8","2017-07-25 14:46","27.7","2017-07-25 05:21","...","73","55","2017-07-25 15:24","2.4","285","8.2","269","2017-07-25 13:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1000.6","...","1001.7","2017-07-26 00:01","999.5","2017-07-26 15:41","29.4","32.0","2017-07-26 11:21","27.2","2017-07-26 05:51","...","76","63","2017-07-26 09:44","1.8","2","6.9","318","2017-07-26 13:27","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1000.6","...","1002.2","2017-07-27 07:54","999.0","2017-07-27 16:34","29.7","32.5","2017-07-27 13:21","26.7","2017-07-27 04:59","...","74","59","2017-07-27 08:45","1.9","2","8.2","302","2017-07-27 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","998.1","...","1000.2","2017-07-28 00:01","995.8","2017-07-28 17:12","30.9","35.3","2017-07-28 16:06","27.6","2017-07-28 05:22","...","72","51","2017-07-28 16:06","1.9","178","7.1","310","2017-07-28 12:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","990.1","...","996.2","2017-07-29 00:01","980.1","2017-07-29 23:03","29.8","33.6","2017-07-29 12:22","26.0","2017-07-29 23:36","...","77","57","2017-07-29 14:41","3.3","10","20.7","232","2017-07-29 23:34","53.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","988.6","...","991.8","2017-07-30 10:22","981.5","2017-07-30 00:01","28.8","32.3","2017-07-30 12:21","25.1","2017-07-30 02:31","...","82","61","2017-07-30 11:01","3.5","359","20.9","233","2017-07-30 00:08","23.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","994.6","...","998.8","2017-07-31 22:31","988.0","2017-07-31 00:01","27.0","29.5","2017-07-31 20:02","24.2","2017-07-31 05:34","...","84","74","2017-07-31 23:52","5.1","179","20.2","164","2017-07-31 03:43","60.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
