Sample.ID,Family,d13C,C.amount_ug,d15N,N.amount_ug,Total.amount_mg,Farmtype,Landscape,Stage,Farm.ID,LSxFT,Date,Year
1Or10513-RED1,RED,-25.57,671.28,6.61,130.17,1.265,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-DOL1,DOL,-25.71,227.2,9.66,52.86,0.624,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-DOL2,DOL,-26.34,407.98,8.35,84.25,0.862,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-DOL3,DOL,-26.9,323.86,8.56,78.87,0.649,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-COE1,COE,-24.26,362.01,8.42,87.33,0.732,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-SCI1,SCI,-25.23,469.58,9.69,96.54,0.923,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-STR1,STR,-27.91,385.93,4.65,79.64,0.782,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-CHL1,CHL,-18.68,488.91,10.92,90.4,0.994,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-EPH1,EPH,-27.01,419.5,7.21,101.14,0.855,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-EPH2,EPH,-29.1,276.37,8.35,56.57,0.54,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-EPH3,EPH,-25.13,307.69,10.21,81.18,0.646,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-CHI1,CHI,-26.1,314.35,6.59,68.78,0.733,Or,Mount,Tillering,MO1,MO,20190513,2019
1Or10513-CHI2,CHI,-25.77,311.49,7.02,64.22,0.662,Or,Mount,Tillering,MO1,MO,20190513,2019
1Cv20513-TEP1,TEP,-28,385.93,6.37,74.02,0.806,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-DEL1,DEL,-29.15,593.86,4.47,105.74,1.112,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CIC1,CIC,-28.85,358.19,3.26,70.93,0.687,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-DOL1,DOL,-28.55,350.55,5.51,66.31,0.749,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-COR1,COR,-22.41,373.49,3.97,78.87,0.729,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-ARA1,ARA,-24.65,578.25,7.61,153.71,1.223,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-TET1,TET,-24.54,315.3,9.62,82.72,0.668,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-TET2,TET,-24.19,566.55,10.66,155.23,1.207,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CER1,CER,-27.8,471.51,6.5,91.17,0.993,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CEL1,CEL,-25.6,341.97,9.34,74.79,0.707,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-SCI1,SCI,-27.27,613.41,4.09,130.93,1.218,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CHL1,CHL,-28.95,525.72,10.15,100.37,1.062,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-PHO1,PHO,-24.43,265.95,10.28,61.75,0.558,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-EPH1,EPH,-24.79,492.78,7.66,94.24,1.016,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CHI1,CHI,-27.57,504.39,6.75,101.91,1.057,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Cv20513-CHI2,CHI,-24.85,286.8,7.83,60.13,0.589,Cv,Mount,Tillering,MC2,MC,20190513,2019
1Or20513-COR1,COR,-27.77,318.15,7.09,69.24,0.674,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-COR2,COR,-28.05,431.04,8.09,90.4,0.842,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-COR3,COR,-11.11,407.02,2.16,88.87,0.81,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-COR4,COR,-18.82,411.82,5.57,77.02,0.792,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-PEN1,PEN,-23.36,568.5,11.07,124.83,1.167,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-PYL1,PYL,-14.43,888.74,7.5,135.49,1.582,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-DEL1,DEL,-28.33,511.17,7.7,75.33,0.916,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-DEL2,DEL,-29.48,760.14,8.13,116.44,1.373,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-CIC1,CIC,-26.46,311.49,7.71,67.31,0.609,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-CIC2,CIC,-28.78,462.83,7.88,95.01,0.894,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-COC1,COC,-14.68,467.65,8.27,85.79,0.878,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-TET1,TET,-24.74,297.24,10.85,78.87,0.62,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-TET2,TET,-23.83,408.94,12.41,109.56,0.859,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-TET3,TET,-24.06,346.74,11.44,94.24,0.728,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-DOL1,DOL,-26.65,367.75,8.41,78.1,0.774,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-STR1,STR,-28.34,395.51,4.65,71.86,0.815,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-MUS1,MUS,-22.8,319.1,10.23,73.86,0.66,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-CHL1,CHL,-18.94,485.04,12.48,76.71,1.024,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-CHL2,CHL,-21.43,245.14,6.14,54.87,0.522,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-LAU1,LAU,-25.83,284.9,10.53,50.77,0.562,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-ICH1,ICH,-29.84,364.88,8.88,69.01,0.77,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-EPH1,EPH,-23.62,330.53,8.1,57.5,0.678,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-CHI1,CHI,-27.44,342.92,6.48,59.82,0.69,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-UDF1,UDF,-23.43,606.56,8.84,114.91,1.283,Or,Mount,Tillering,MO2,MO,20190513,2019
1Or20513-Mor1,MOR,-26.43,386.89,6.99,73.94,0.757,Or,Mount,Tillering,MO2,MO,20190513,2019
1Cv30513-ACR1,ACR,-29.65646315,687.0871305,6.927677197,180.3182821,1.242,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-ALY1,ALY,-15.57102703,303.1613336,7.070772706,78.60259573,0.695,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-HES1,HES,-29.76899111,267.8076723,6.675257804,56.35284869,0.676,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TRI1,TRI,-19.8435725,347.2486096,3.687277469,78.60259573,0.781,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TER1,TER,-20.25134891,592.4042345,1.678633662,140.1638766,1.311,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TER2,TER,-19.63235749,312.5082283,2.871584138,77.0796089,0.718,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-COR1,COR,-13.4576734,374.6502145,2.091297489,90.02045731,0.828,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-PEN1,PEN,-28.22782062,479.9666098,5.193610848,96.10670784,0.982,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-APH1,APH,-13.10897691,384.1342247,3.51890868,59.09760885,0.823,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CIC1,CIC,-21.56629279,335.9543967,7.757121616,69.0815915,0.704,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CIC2,CIC,-27.22781962,305.0292692,5.389970004,63.3663186,0.65,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CIC3,CIC,-26.43960795,352.9054585,6.391676092,75.55647966,0.747,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-DEL1,DEL,-28.74297625,312.5082283,4.153915845,58.41146207,0.642,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-DEL2,DEL,-28.2414004,543.2251361,3.808229829,105.2318111,1.12,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-ARA1,ARA,-24.55943399,339.7162477,7.626823566,81.64814212,0.762,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-ARA2,ARA,-23.18127762,499.3495849,7.853984661,136.3705625,1.136,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TET1,TET,-22.89419631,354.7925182,8.086659436,94.58535884,0.836,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TET2,TET,-22.71424522,312.5082283,8.610135499,88.49853863,0.741,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TET3,TET,-23.12091967,257.6223395,8.509086649,71.06241861,0.605,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TET4,TET,-23.00394369,322.8106504,7.694417017,85.45427401,0.747,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-TET5,TET,-23.19118637,389.8332907,8.49314639,104.4715816,0.901,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-EPH1,EPH,-26.85427289,386.0331917,9.38132069,68.92921021,0.862,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-EPH2,EPH,-27.68378002,319.9987339,9.228142277,64.66195599,0.706,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-EPH3,EPH,-28.1306147,247.4588371,8.942484428,46.8188487,0.583,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CHI1,CHI,-22.39670362,228.1164063,5.22211522,54.59901033,0.529,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CHI2,CHI,-22.39902245,335.0143849,6.06267125,80.12544013,0.549,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Cv30513-CHI3,CHI,-22.64709854,235.4755698,6.087213407,56.42909825,0.755,Cv,Mount,Tillering,MC3,MC,20190513,2019
1Or30513-ACR1,ACR,-18.74600238,395.5388517,8.689317398,90.78136324,0.901,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CHR1,CHR,-28.87171362,252.0759047,6.662490693,58.41146207,0.582,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-ALY1,ALY,-22.19516736,318.125025,5.854764049,70.14822062,0.707,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CIC1,CIC,-16.21237039,380.3384556,8.921160166,77.0796089,0.817,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CIC2,CIC,-15.66586989,319.9987339,10.69180738,60.77473513,0.675,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CIC3,CIC,-19.07915535,382.2359793,9.261750885,85.45427401,0.824,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-DEL1,DEL,-19.1998033,310.637406,9.366848007,53.45510124,0.663,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-DEL2,DEL,-19.52775079,324.6861634,8.330995882,57.19157436,0.674,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-COC1,COC,-23.91139588,267.8076723,9.584181724,54.37023492,0.575,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-DOL1,DOL,-22.19430868,339.7162477,11.02371686,78.60259573,0.767,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-ARA1,ARA,-23.03674306,231.7945447,9.710590657,55.20906243,0.551,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-TET1,TET,-23.99110899,532.4662638,9.469823552,121.9478508,0.772,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-TET2,TET,-23.83188313,376.5455732,9.649705284,97.62791443,0.873,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-TET3,TET,-23.05828106,229.9551147,10.16413675,57.57279906,0.544,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-TET4,TET,-23.21273067,374.6502145,9.753535258,89.25951577,0.874,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CHL1,CHL,-18.31197774,280.8023956,12.95937163,52.15857409,0.697,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-EPH1,EPH,-24.83242205,240.0809104,11.35437269,41.63001633,0.545,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-CHI1,CHI,-23.29185429,212.5165222,7.178218623,38.27165925,0.529,Or,Mount,Tillering,MO3,MO,20190513,2019
1Or30513-MUS1,MUS,-23.77473959,314.3797722,10.81876391,71.13859946,0.756,Or,Mount,Tillering,MO3,MO,20190513,2019
2Cv10513-CIC1,CIC,-28.67558653,389.8332907,5.196941669,90.02045731,0.848,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-DEL1,DEL,-28.7911432,646.0242664,4.580104874,113.591985,1.268,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TER1,TER,-19.22121292,348.1909667,2.797889522,86.97647753,0.777,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-API1,API,-25.39317782,275.2288985,0.629170412,69.99584931,0.615,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET1,TET,-24.48120157,436.6187728,7.761843713,122.7072613,0.996,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET2,TET,-24.16786716,284.5216687,8.346914562,77.0796089,0.647,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET3,TET,-23.84547854,483.8374315,7.699278952,136.3705625,1.112,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET4,TET,-23.92797535,277.0860092,8.316998034,75.55647966,0.5,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET5,TET,-24.39424716,279.8730284,7.515470335,77.0796089,0.635,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET6,TET,-23.60369698,219.8511492,8.06397455,62.68035127,0.519,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-TET7,TET,-23.891518,251.1521303,8.302544008,69.23397136,0.582,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-ARA1,ARA,-24.29776614,270.589279,7.876114885,73.72853657,0.639,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-ARA2,ARA,-24.50571105,448.1424738,6.837648144,126.5037799,1.072,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-ARA3,ARA,-24.77065769,279.8730284,7.602204961,75.55647966,0.656,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-COC1,COC,-23.48813711,468.3714644,7.346634155,86.97647753,0.984,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-STA1,STA,-26.47109694,257.6223395,6.984925227,52.38738047,0.554,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-DOL1,DOL,-20.90337767,322.8106504,9.384625535,83.17070169,0.74,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-EPH1,EPH,-29.61871527,564.8083716,8.366379462,94.58535884,1.251,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-MUS1,MUS,-25.41453087,367.0759962,8.316467454,53.83641317,0.866,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-SAR1,SAR,-25.53109221,247.4588371,12.91287139,42.46949789,0.579,Cv,Land,Tillering,LC1,LC,20190513,2019
2Cv10513-CHI1,CHI,-27.79606552,419.3819333,5.676244843,95.34605114,0.53,Cv,Land,Tillering,LC1,LC,20190513,2019
2Or10513-CIC1,CIC,-22.33383405,310.637406,5.921784138,75.55647966,0.68,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-DEL1,DEL,-24.41704046,294.7645538,4.535003969,60.31735415,0.621,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-DOL1,DOL,-23.33534062,338.7755143,9.1568165,82.40943971,0.751,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-TET1,TET,-26.58114724,224.4411546,6.972179513,58.33522176,0.514,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-TET2,TET,-25.03086084,362.3479733,7.874232757,99.90945727,0.836,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-TET3,TET,-25.59332091,600.3147466,7.422429837,150.7804208,1.335,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-ARA1,ARA,-26.11597601,368.022142,7.376662497,95.34605114,0.823,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-ARA2,ARA,-25.99095569,410.785434,7.251441759,107.5122858,0.915,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-MUS1,MUS,-23.75693379,238.2382329,7.894069898,53.98893545,0.521,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-EPH1,EPH,-26.98107387,348.1909667,6.433112257,66.33851045,0.766,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-CHI1,CHI,-27.51263063,380.3384556,5.908041396,86.97647753,0.851,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-CHI2,CHI,-25.44909623,230.8747395,5.108170215,51.54840806,0.938,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-CHI3,CHI,-28.10419685,265.9541698,5.74700827,61.46078258,0.6,Or,Land,Tillering,LO1,LO,20190513,2019
2Or10513-CHI4,CHI,-27.86069198,228.1164063,6.013729238,51.39586299,0.519,Or,Land,Tillering,LO1,LO,20190513,2019
2Cv20513-CIC1,CIC,-28.73412452,509.0681348,5.372464182,109.0324242,1.081,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-DEL1,DEL,-29.42326908,345.3644367,4.435420585,66.64332002,0.718,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-DEL2,DEL,-29.65583997,515.8818544,4.676676017,90.78136324,1.042,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-DEL3,DEL,-29.46270844,459.6921546,3.93816457,76.31806208,0.902,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-TET1,TET,-25.24144897,593.3924171,8.883577538,155.328232,1.359,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-TET2,TET,-25.92928609,245.6132729,8.336510759,62.9852292,0.574,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-TET3,TET,-24.67449504,401.2509076,8.785881302,102.1906797,0.899,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-TET4,TET,-25.1310074,273.3725094,9.11427155,74.79486163,0.639,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-TET5,TET,-23.98227282,514.9079246,9.646228628,141.680953,1.185,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-ARA1,ARA,-25.03548314,504.2066047,8.420688427,136.3705625,1.168,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-COC1,COC,-27.53333976,643.031574,11.4334501,118.1502641,1.338,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-SAR1,SAR,-25.07714769,278.9438416,12.91475938,71.2909601,0.644,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-MUS1,MUS,-22.2891643,319.0617893,9.203032271,84.69311884,0.768,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-CHL1,CHL,-25.18651827,209.7690139,8.644476778,36.66856401,0.515,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-CHI1,CHI,-27.17941939,320.935859,5.422997336,76.31806208,0.736,Cv,Land,Tillering,LC2,LC,20190513,2019
2Cv20513-CHI2,CHI,-27.40927183,256.9892301,5.983812164,57.84725781,0.549,Cv,Land,Tillering,LC2,LC,20190513,2019
2Or20513-TER1,TER,-23.08788004,367.7752528,0.32444862,83.39921844,0.795,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TER2,TER,-20.63401062,387.7474307,2.866621388,92.36888611,0.839,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TER3,TER,-22.02006238,406.0270309,1.442126125,93.11944963,0.886,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TER4,TER,-22.04004253,341.6649906,1.066839343,83.39921844,0.756,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TER5,TER,-23.15902546,434.5920554,0.66333754,93.87048871,0.931,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-DEL1,DEL,-29.03780274,490.6791858,3.923387127,102.1633063,1.014,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-CIC1,CIC,-27.39528639,603.0833228,4.016466515,126.6150587,1.239,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-CIC2,CIC,-26.14145639,709.3920023,2.119113493,168.981665,1.506,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-DOL1,DOL,-24.90846596,393.2190033,9.544892369,89.37138777,0.865,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-DOL2,DOL,-27.4525936,245.7303363,9.315132863,51.38585504,0.54,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-ARA1,ARA,-26.30874094,446.6547448,7.048486728,118.9215733,0.999,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TET1,TET,-24.76507336,360.5478069,10.15377671,94.62200336,0.792,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TET2,TET,-24.85977634,469.9914159,10.79498072,130.4796353,1.094,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TET3,TET,-24.38222563,424.4238451,8.898560297,108.9911401,0.931,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TET4,TET,-24.17761317,358.7438758,10.31931275,94.62200336,0.804,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-TET5,TET,-24.84396031,368.6800022,9.711888222,96.12645938,0.82,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-CHI1,CHI,-28.49076398,253.5196805,6.710258502,52.68961671,0.552,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-CHI2,CHI,-26.16161797,330.0403889,5.404892097,60.32560304,0.753,Or,Land,Tillering,LO2,LO,20190513,2019
2Or20513-CHI3,CHI,-27.93010904,305.1709874,5.642637158,60.39857877,0.68,Or,Land,Tillering,LO2,LO,20190513,2019
2Cv30513-CIC1,CIC,-28.6926909,489.7357557,2.550559389,97.63281768,1.001,Cv,Land,Tillering,LC3,LC,20190513,2019
2Cv30513-CIC2,CIC,-28.25616599,466.2452411,5.206161308,108.2305896,0.981,Cv,Land,Tillering,LC3,LC,20190513,2019
2Cv30513-CIC3,CIC,-28.34476671,356.9411168,4.358770067,77.45748561,0.727,Cv,Land,Tillering,LC3,LC,20190513,2019
