No.,ID,Date,Species,Amount_mg,Conc_N_%,d_15N,Conc_C_%,d_13C,Farm_type,Sur_env,Stage,Trophic
116,1CvBp20170712,20170712,Bp,2.119,3.80,3.20,42.45,-31.76,Cv,M,Ripening,Producer
117,1CvBp20170712,20170712,Bp,2.188,2.48,1.35,43.32,-30.71,Cv,M,Ripening,Producer
118,1CvOs20170712,20170712,Os,2.197,2.31,6.75,41.63,-29.96,Cv,M,Ripening,Producer
119,1CvOs20170712,20170712,Os,2.270,2.38,5.43,42.86,-29.10,Cv,M,Ripening,Producer
120,1CvOs20170712,20170712,Os,2.217,1.63,6.35,41.26,-28.90,Cv,M,Ripening,Producer
121,2OrBp20170712,20170712,Bp,2.146,3.21,5.58,42.54,-31.12,Or,G,Ripening,Producer
122,2OrBp20170712,20170712,Bp,2.151,3.59,4.64,42.88,-31.78,Or,G,Ripening,Producer
123,2OrBp20170712,20170712,Bp,2.162,3.18,2.77,43.36,-32.29,Or,G,Ripening,Producer
124,2OrOs20170712,20170712,Os,2.058,1.56,6.03,40.80,-29.61,Or,G,Ripening,Producer
125,2OrOs20170712,20170712,Os,2.087,1.40,5.13,42.18,-29.72,Or,G,Ripening,Producer
126,2OrOs20170712,20170712,Os,2.231,1.56,5.29,40.77,-29.57,Or,G,Ripening,Producer
127,2CvBp20170712,20170712,Bp,2.085,2.21,3.62,43.25,-32.39,Cv,G,Ripening,Producer
128,2CvBp20170712,20170712,Bp,2.030,2.36,3.37,42.32,-30.98,Cv,G,Ripening,Producer
129,2CvBp20170712,20170712,Bp,2.169,2.94,4.22,41.68,-32.20,Cv,G,Ripening,Producer
130,2CvOs20170712,20170712,Os,2.064,2.13,6.39,42.97,-29.27,Cv,G,Ripening,Producer
131,2CvOs20170712,20170712,Os,2.157,2.29,5.79,42.08,-29.28,Cv,G,Ripening,Producer
132,2CvOs20170712,20170712,Os,2.099,2.70,7.76,42.91,-29.59,Cv,G,Ripening,Producer
133,3OrBp20170712,20170712,Bp,2.144,4.82,3.33,44.48,-31.96,Or,O,Ripening,Producer
134,3OrBp20170712,20170712,Bp,2.079,3.56,1.87,42.21,-31.61,Or,O,Ripening,Producer
135,3OrBp20170712,20170712,Bp,2.181,2.38,6.00,42.71,-30.88,Or,O,Ripening,Producer
136,3OrOs20170712,20170712,Os,2.154,2.47,7.61,39.56,-29.86,Or,O,Ripening,Producer
137,3OrOs20170712,20170712,Os,2.161,2.76,8.41,41.29,-29.99,Or,O,Ripening,Producer
138,3OrOs20170712,20170712,Os,2.169,2.61,6.64,39.90,-30.41,Or,O,Ripening,Producer
139,3CvBp20170712,20170712,Bp,2.157,3.28,7.00,42.84,-31.30,Cv,O,Ripening,Producer
140,3CvBp20170712,20170712,Bp,2.173,2.75,5.70,42.88,-30.65,Cv,O,Ripening,Producer
141,3CvBp20170712,20170712,Bp,2.088,2.04,5.95,41.43,-30.68,Cv,O,Ripening,Producer
142,3CvOs20170712,20170712,Os,2.213,1.18,5.81,37.71,-29.01,Cv,O,Ripening,Producer
143,3CvOs20170712,20170712,Os,2.156,1.85,8.73,42.19,-28.72,Cv,O,Ripening,Producer
144,3CvOs20170712,20170712,Os,2.157,1.69,11.72,42.78,-29.21,Cv,O,Ripening,Producer
145,1Or20170623POM,20170623,POM,NA,NA,0.30,NA,-25.33,Or,M,Heading,Producer
146,1Or20170623POM,20170623,POM,NA,NA,-0.59,NA,-24.96,Or,M,Heading,Producer
147,1Or20170623POM,20170623,POM,NA,NA,2.32,NA,-24.79,Or,M,Heading,Producer
148,1Cv20170623POM,20170623,POM,NA,NA,-5.05,NA,-26.51,Cv,M,Heading,Producer
149,1Cv20170623POM,20170623,POM,NA,NA,NA,NA,NA,Cv,M,Heading,Producer
150,1Cv20170623POM,20170623,POM,NA,NA,-3.97,NA,-26.37,Cv,M,Heading,Producer
151,2Or20170623POM,20170623,POM,NA,NA,-4.23,NA,-26.58,Or,G,Heading,Producer
152,2Or20170623POM,20170623,POM,NA,NA,-0.78,NA,-26.89,Or,G,Heading,Producer
153,2Or20170623POM,20170623,POM,NA,NA,-4.83,NA,-27.05,Or,G,Heading,Producer
154,2Cv20170623POM,20170623,POM,NA,NA,-5.52,NA,-25.57,Cv,G,Heading,Producer
155,2Cv20170623POM,20170623,POM,NA,NA,-2.66,NA,-26.56,Cv,G,Heading,Producer
156,2Cv20170623POM,20170623,POM,NA,NA,-2.09,NA,-25.12,Cv,G,Heading,Producer
157,3Or20170623POM,20170623,POM,NA,NA,5.51,NA,-26.23,Or,O,Heading,Producer
158,1Or20170331CicA,20170331,CicA,1.037,11.84,11.31,48.41,-18.23,Or,M,Seedling,Herbivore
159,1Or20170331Agr1,20170331,Agr1,1.095,9.61,8.01,50.73,-22.72,Or,M,Seedling,Herbivore
160,1Or20170331Sci1,20170331,Sci1,1.022,11.81,7.91,48.99,-26.42,Or,M,Seedling,Parasite
161,1Cv20170331Agr1,20170331,Agr1,0.975,10.43,7.12,51.32,-20.95,Cv,M,Seedling,Herbivore
162,1Cv20170331Agr1,20170331,Agr1,1.017,10.14,7.03,52.08,-21.39,Cv,M,Seedling,Herbivore
163,1Cv20170331Agr1,20170331,Agr1,1.050,10.72,6.89,50.70,-21.15,Cv,M,Seedling,Herbivore
164,2Or20170331Chi1,20170331,Chi1,0.776,11.74,8.09,50.20,-25.25,Or,G,Seedling,Detritivore
165,2Or20170331Agr1,20170331,Agr1,0.993,10.36,7.55,48.10,-24.98,Or,G,Seedling,Herbivore
166,2Cv20170331Agr1,20170331,Agr1,1.110,8.97,8.37,52.79,-22.06,Cv,G,Seedling,Herbivore
167,2Cv20170331Agr1,20170331,Agr1,1.014,8.77,7.26,52.46,-22.34,Cv,G,Seedling,Herbivore
168,2Cv20170331Chi1,20170331,Chi1,0.621,16.71,7.90,71.77,-26.71,Cv,G,Seedling,Detritivore
169,3Or20170407Agr1,20170331,Agr1,1.079,10.61,9.22,49.03,-21.08,Or,O,Seedling,Herbivore
170,3Or20170407Agr1,20170331,Agr1,1.171,9.59,9.33,52.03,-24.09,Or,O,Seedling,Herbivore
171,3Or20170407Tri1,20170331,Tri1,0.982,12.14,4.30,47.84,-20.94,Or,O,Seedling,Herbivore
172,3Or20170407Tri1,20170331,Tri1,0.983,10.08,4.27,50.07,-22.04,Or,O,Seedling,Herbivore
173,3Or20170407Tri1,20170331,Tri1,1.170,12.28,3.18,46.75,-21.57,Or,O,Seedling,Herbivore
174,3Cv20170407Tri1,20170331,Tri1,1.145,12.01,2.94,46.71,-21.46,Cv,O,Seedling,Herbivore
175,3Cv20170407Agr1,20170331,Agr1,1.054,11.38,9.67,44.50,-20.97,Cv,O,Seedling,Herbivore
176,3Cv20170407Agr1,20170331,Agr1,0.979,16.04,10.48,67.32,-21.20,Cv,O,Seedling,Herbivore
177,3Cv20170407Agr1,20170331,Agr1,1.063,10.22,9.39,49.23,-21.54,Cv,O,Seedling,Herbivore
178,3Cv20170407Chi1,20170331,Chi1,1.157,10.77,10.73,47.79,-24.73,Cv,O,Seedling,Detritivore
179,3Cv20170407Chi1,20170331,Chi1,1.115,10.75,10.49,46.64,-24.57,Cv,O,Seedling,Detritivore
180,3Cv20170407Chi1,20170331,Chi1,0.766,11.17,10.64,48.11,-24.20,Cv,O,Seedling,Detritivore
181,1Or20170512Mus1,20170512,Mus1,1.099,11.35,7.02,48.73,-21.79,Or,M,Tillering,Detritivore
182,1Or20170512Mus1,20170512,Mus1,1.085,10.88,8.15,48.26,-24.30,Or,M,Tillering,Detritivore
183,1Or20170512Mus1,20170512,Mus1,0.995,10.38,8.15,46.98,-22.85,Or,M,Tillering,Detritivore
184,1Or20170512CicA,20170512,CicA,1.043,9.57,7.78,50.88,-24.59,Or,M,Tillering,Herbivore
185,1Or20170512CicA,20170512,CicA,1.048,10.94,5.24,49.62,-24.29,Or,M,Tillering,Herbivore
186,1Or20170512CicA,20170512,CicA,1.045,10.59,7.87,51.42,-26.58,Or,M,Tillering,Herbivore
187,1Or20170512Pen1,20170512,Pen1,1.102,9.82,8.88,44.89,-28.40,Or,M,Tillering,Herbivore
188,1Or20170512Pen2,20170512,Pen2,1.135,10.88,6.00,49.62,-25.30,Or,M,Tillering,Herbivore
189,1Or20170512Coc1,20170512,Coc1,1.055,9.66,8.32,51.69,-26.70,Or,M,Tillering,Predator
190,1Or20170512Coc1,20170512,Coc1,1.067,10.01,10.33,50.91,-24.84,Or,M,Tillering,Predator
191,1Or20170512DelA,20170512,DelA,1.099,9.61,7.44,51.77,-27.89,Or,M,Tillering,Herbivore
192,1Or20170512DelA,20170512,DelA,0.768,9.92,7.49,51.52,-26.23,Or,M,Tillering,Herbivore
193,1Or20170512Acr1,20170512,Acr1,1.120,11.29,9.40,46.68,-20.68,Or,M,Tillering,Herbivore
194,1Or20170512Acr1,20170512,Acr1,0.914,11.08,8.13,44.85,-26.30,Or,M,Tillering,Herbivore
195,1Or20170512Chr3,20170512,Chr3,1.107,8.46,3.33,47.90,-26.89,Or,M,Tillering,Herbivore
196,1Or20170512Chr3,20170512,Chr3,1.066,8.84,3.26,47.92,-26.94,Or,M,Tillering,Herbivore
197,1Or20170512Coe1,20170512,Coe1,1.036,10.55,8.00,50.71,-24.58,Or,M,Tillering,Predator
198,1Or20170512Aes1,20170512,Aes1,1.151,10.84,8.51,47.87,-25.54,Or,M,Tillering,Predator
199,1Or20170512Acr1,20170512,Acr1,1.122,10.33,9.42,45.60,-16.06,Or,M,Tillering,Herbivore
200,1Or20170512Emp1,20170512,Emp1,1.085,10.84,13.23,48.56,-24.33,Or,M,Tillering,Omnivore
201,1Or20170512Tet1,20170512,Tet1,0.712,11.99,8.24,45.12,-23.93,Or,M,Tillering,Predator
202,1Or20170512Tet1,20170512,Tet1,1.118,12.05,7.86,45.92,-24.18,Or,M,Tillering,Predator
203,1Cv20170512DelA,20170512,DelA,1.017,11.64,8.34,48.87,-13.51,Cv,M,Tillering,Herbivore
204,1Cv20170512DelA,20170512,DelA,1.073,10.55,4.38,52.57,-26.53,Cv,M,Tillering,Herbivore
205,1Cv20170512DelA,20170512,DelA,1.148,9.69,3.22,53.16,-23.30,Cv,M,Tillering,Herbivore
206,1Cv20170512Acr1,20170512,Acr1,0.914,13.70,4.35,58.55,-26.07,Cv,M,Tillering,Herbivore
207,1Cv20170512Tet1,20170512,Tet1,1.109,12.75,9.22,48.85,-23.65,Cv,M,Tillering,Predator
208,1Cv20170512Tet1,20170512,Tet1,1.089,12.45,9.32,46.58,-23.40,Cv,M,Tillering,Predator
209,1Cv20170512Tet1,20170512,Tet1,1.118,11.74,8.57,47.93,-23.60,Cv,M,Tillering,Predator
210,1Cv20170512Coc1,20170512,Coc1,1.205,10.35,9.14,52.02,-26.11,Cv,M,Tillering,Predator
211,1Cv20170512Chi1,20170512,Chi1,1.128,10.61,6.57,48.21,-24.00,Cv,M,Tillering,Detritivore
212,1Cv20170512Chi1,20170512,Chi1,1.146,10.88,6.65,48.76,-24.00,Cv,M,Tillering,Detritivore
213,1Cv20170512Chi1,20170512,Chi1,1.174,10.94,6.66,48.70,-24.23,Cv,M,Tillering,Detritivore
214,1Cv20170512Lyg1,20170512,Lyg1,1.050,9.67,6.91,52.69,-28.82,Cv,M,Tillering,Herbivore
215,1Cv20170512Sph1,20170512,Sph1,0.649,12.21,9.02,48.71,-27.15,Cv,M,Tillering,Detritivore
216,1Cv20170512Sph1,20170512,Sph1,1.144,10.15,9.22,48.95,-23.37,Cv,M,Tillering,Detritivore
217,1Cv20170512Tep1,20170512,Tep1,0.886,11.87,6.09,48.90,-22.67,Cv,M,Tillering,Herbivore
218,1Cv20170512Tep1,20170512,Tep1,1.177,11.05,6.28,51.09,-26.64,Cv,M,Tillering,Herbivore
219,2Or20170512Tet1,20170512,Tet1,1.188,11.47,8.26,48.85,-22.64,Or,G,Tillering,Predator
220,2Or20170512Tet1,20170512,Tet1,1.086,11.54,7.50,47.29,-24.25,Or,G,Tillering,Predator
221,2Or20170512Tet1,20170512,Tet1,1.088,11.44,8.23,43.52,-23.69,Or,G,Tillering,Predator
222,2Or20170512Ter1,20170512,Ter1,1.104,10.86,1.39,45.51,-22.75,Or,G,Tillering,Herbivore
223,2Or20170512Sce1,20170512,Sce1,0.762,10.59,6.34,47.61,-25.74,Or,G,Tillering,Parasite
224,2Cv20170512CicA,20170512,CicA,0.647,10.25,2.65,52.53,-28.76,Cv,G,Tillering,Herbivore
225,2Cv20170512CicA,20170512,CicA,0.883,9.02,5.25,55.81,-28.90,Cv,G,Tillering,Herbivore
226,2Cv20170512CicA,20170512,CicA,1.016,10.11,3.76,52.15,-28.63,Cv,G,Tillering,Herbivore
227,2Cv20170512Sph1,20170512,Sph1,1.157,11.30,10.54,49.54,-24.58,Cv,G,Tillering,Detritivore
228,2Cv20170512Sph1,20170512,Sph1,1.063,8.74,12.54,45.23,-24.80,Cv,G,Tillering,Detritivore
229,2Cv20170512Sph1,20170512,Sph1,0.942,11.30,10.50,47.77,-21.26,Cv,G,Tillering,Detritivore
230,2Cv20170512Tet1,20170512,Tet1,1.174,12.73,9.09,46.76,-21.42,Cv,G,Tillering,Predator
231,2Cv20170512Tet1,20170512,Tet1,1.046,12.43,9.03,47.40,-21.01,Cv,G,Tillering,Predator
232,2Cv20170512Tet1,20170512,Tet1,1.085,12.53,9.01,46.01,-20.97,Cv,G,Tillering,Predator
233,2Cv20170512Cer1,20170512,Cer1,1.032,11.13,8.07,50.45,-22.79,Cv,G,Tillering,Omnivore
234,3Or20170512Eph1,20170512,Eph1,1.138,10.16,12.80,48.05,-25.45,Or,O,Tillering,Detritivore
235,3Or20170512Eph1,20170512,Eph1,1.048,9.32,11.85,48.59,-25.02,Or,O,Tillering,Detritivore
236,3Or20170512Eph1,20170512,Eph1,1.112,8.29,12.03,45.58,-25.88,Or,O,Tillering,Detritivore
237,3Or20170512Chi1,20170512,Chi1,1.157,10.78,8.39,50.40,-25.39,Or,O,Tillering,Detritivore
238,3Or20170512Ich1,20170512,Ich1,0.545,12.05,9.73,46.14,-22.24,Or,O,Tillering,Parasite
239,3Or20170512Tet1,20170512,Tet1,1.026,12.35,9.49,48.66,-23.96,Or,O,Tillering,Predator
240,3Or20170512Tet1,20170512,Tet1,1.157,12.68,12.52,47.53,-24.70,Or,O,Tillering,Predator
241,3Or20170512Tet1,20170512,Tet1,1.168,12.26,10.27,45.81,-23.67,Or,O,Tillering,Predator
242,3Or20170512Ero1,20170512,Ero1,1.111,13.11,0.46,47.92,-29.16,Or,O,Tillering,Herbivore
243,3Cv20170512Eph1,20170512,Eph1,1.084,11.97,11.31,45.88,-30.61,Cv,O,Tillering,Detritivore
244,3Cv20170512Eph1,20170512,Eph1,1.075,10.12,9.15,50.79,-23.27,Cv,O,Tillering,Detritivore
245,3Cv20170512Tet1,20170512,Tet1,1.085,11.90,10.60,47.26,-24.86,Cv,O,Tillering,Predator
246,3Cv20170512Tet1,20170512,Tet1,1.066,12.37,10.24,47.15,-25.19,Cv,O,Tillering,Predator
247,3Cv20170512Tet1,20170512,Tet1,0.994,12.66,10.49,47.77,-24.85,Cv,O,Tillering,Predator
248,3Cv20170512Cul1,20170512,Cul1,0.528,9.96,9.39,46.36,-24.87,Cv,O,Tillering,Omnivore
249,1Or20170623Pen4,20170623,Pen4,1.105,10.88,9.79,49.94,-28.50,Or,M,Heading,Herbivore
