Farm,Stage,Family.ID,Count,Guild,Guild2,Date,Year,目,Order,科,Family,食性分類,水稻生長,種鑑定
LO1,Seedling,Ble,4,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,網蚊科,Blephariceridae,中性物種,未插秧,
LO1,Seedling,Chi,23,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,未插秧,
LO1,Seedling,Chl,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,未插秧,
LO1,Seedling,Pio,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,酪蠅科,Piophilidae,中性物種,未插秧,
MC1,Seedling,Chi,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,未插秧,
MC1,Seedling,SCA,2,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,黑翅蕈蚋科,Sciaridae,中性物種,未插秧,
MC1,Seedling,Sep,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,鎧細蠅科,Sepsidae,中性物種,未插秧,
MC1,Seedling,Sph,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,大附蠅科,Sphaeroceridae,中性物種,未插秧,
MC1,Seedling,Cam,4,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,金果蠅科,Camillidae,中性物種,未插秧,
MO1,Seedling,Chl,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,未插秧,
MO1,Seedling,Sph,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,大附蠅科,Sphaeroceridae,中性物種,未插秧,
MO1,Seedling,Tep,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,果實蠅科,Tephritidae,中性物種,未插秧,
MO1,Seedling,Pio,1,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,酪蠅科,Piophilidae,中性物種,未插秧,
SC1,Seedling,Chi,2,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,未插秧,
SO1,Seedling,Chi,2,Neutral,Detritivores,20170318,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,未插秧,
LO1,Seedling,Chi,5,Neutral,Detritivores,20170331,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,成活期,
MC1,Seedling,Chi,1,Neutral,Detritivores,20170331,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,成活期,
MC1,Seedling,Eph,3,Neutral,Detritivores,20170331,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,成活期,
SC1,Seedling,Chi,8,Neutral,Detritivores,20170407,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,成活期,
SC1,Seedling,Eph,25,Neutral,Detritivores,20170407,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,成活期,
SO1,Seedling,Eph,12,Neutral,Detritivores,20170407,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,成活期,
SO1,Seedling,Pcd,3,Neutral,Detritivores,20170407,2017,雙翅目,Diptera,蛾蚋科,Psychodidae,中性物種,成活期,
LC1,Tillering,Ble,1,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,網蚊科,Blephariceridae,中性物種,分?始期,
LC1,Tillering,Chi,12,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?始期,
LC1,Tillering,Fan,1,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?始期,
LO1,Tillering,Chi,466,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?始期,
LO1,Tillering,Chl,1,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,分?始期,
LO1,Tillering,Eph,5,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?始期,
MC1,Tillering,Chi,30,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?始期,
MC1,Tillering,Eph,33,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?始期,
MO1,Tillering,Tep,1,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,果實蠅科,Tephritidae,中性物種,分?始期,
SC1,Tillering,Chi,216,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?始期,
SC1,Tillering,Eph,8,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?始期,
SO1,Tillering,Chi,218,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?始期,
SO1,Tillering,Eph,201,Neutral,Detritivores,20170417,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?始期,
LC1,Tillering,Chi,6,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?盛期,
LC1,Tillering,Eph,3,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?盛期,
LC1,Tillering,Fan,5,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?盛期,
LO1,Tillering,Chi,4,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?盛期,
LO1,Tillering,Chl,1,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,分?盛期,
LO1,Tillering,Fan,2,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?盛期,
LO1,Tillering,Mus,1,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,家蠅科,Muscidae,中性物種,分?盛期,
MC1,Tillering,Chi,11,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?盛期,
MC1,Tillering,Chl,1,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,分?盛期,
MC1,Tillering,Eph,3,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?盛期,
MC1,Tillering,Fan,4,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?盛期,
SC1,Tillering,Ath,2,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,花蠅科,Anthomyiidae,中性物種,分?盛期,
SC1,Tillering,Chi,3,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?盛期,
SC1,Tillering,Eph,7,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?盛期,
SC1,Tillering,Fan,6,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?盛期,
SC1,Tillering,Ect,1,Neutral,Detritivores,20170502,2017,嚙蟲目,Psocoptera,外嚙蟲科,Ectopsocidae,中性物種,分?盛期,
SO1,Tillering,Chi,15,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?盛期,
SO1,Tillering,Fan,4,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?盛期,
SO1,Tillering,Mus,2,Neutral,Detritivores,20170502,2017,雙翅目,Diptera,家蠅科,Muscidae,中性物種,分?盛期,
LC1,Tillering,Chi,25,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?終期,
LC1,Tillering,Fan,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?終期,
LC1,Tillering,Pio,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,酪蠅科,Piophilidae,中性物種,分?終期,
LO1,Tillering,Chi,32,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?終期,
LO1,Tillering,Chl,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,分?終期,
LO1,Tillering,Eph,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?終期,
LO1,Tillering,Fan,5,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?終期,
LO1,Tillering,Sct,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,糞蠅科,Scathophagidae,中性物種,分?終期,
MC1,Flowering,Chi,30,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,幼穗形成,
MC1,Flowering,Chl,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,幼穗形成,
MC1,Flowering,Eph,2,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,幼穗形成,
MC1,Flowering,Fan,4,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,幼穗形成,
MC1,Flowering,Sct,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,糞蠅科,Scathophagidae,中性物種,幼穗形成,
MO1,Tillering,Fan,3,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?終期,
MO1,Tillering,Mus,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,家蠅科,Muscidae,中性物種,分?終期,
MO1,Tillering,Sep,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,艷細蠅科,Sepsidae,中性物種,分?終期,
SC1,Tillering,Chi,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,分?終期,
SC1,Tillering,Fan,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?終期,
SC1,Tillering,Lau,1,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,縞蠅科,Lauxaniidae,中性物種,分?終期,
SO1,Tillering,Cul,3,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,分?終期,
SO1,Tillering,Eph,2,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,分?終期,
SO1,Tillering,Fan,11,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,廁蠅科,Fanniidae,中性物種,分?終期,
SO1,Tillering,Pio,2,Neutral,Detritivores,20170512,2017,雙翅目,Diptera,酪蠅科,Piophilidae,中性物種,分?終期,
LC1,Flowering,Chl,2,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,孕穗末期,
LC1,Flowering,Cul,2,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,孕穗末期,
LC1,Flowering,Eph,3,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,孕穗末期,
LC1,Flowering,Sph,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,大附蠅科,Sphaeroceridae,中性物種,孕穗末期,
LC1,Flowering,Mct,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,蕈蚋科,Mycetophilidae,中性物種,孕穗末期,
LO1,Flowering,Chi,3,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗末期,
LO1,Flowering,Sph,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,大附蠅科,Sphaeroceridae,中性物種,孕穗末期,
LO1,Flowering,Mct,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,蕈蚋科,Mycetophilidae,中性物種,孕穗末期,
MC1,Flowering,Chi,95,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,齊穗期,
MC1,Flowering,Chl,2,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,齊穗期,
MC1,Flowering,Cul,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,蚊科,Culicidae,中性物種,齊穗期,
MC1,Flowering,Eph,23,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,齊穗期,
MC1,Flowering,Lau,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,縞蠅科,Lauxaniidae,中性物種,齊穗期,
MC1,Flowering,SCA,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,黑翅蕈蚋科,Sciaridae,中性物種,齊穗期,
MO1,Flowering,Atm,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,小花蠅科,Anthomyzidae,中性物種,幼穗分化,
MO1,Flowering,Chl,6,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,桿蠅科,Chloropidae,中性物種,幼穗分化,
MO1,Flowering,SCA,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,黑翅蕈蚋科,Sciaridae,中性物種,幼穗分化,
SC1,Flowering,Chi,126,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗末期,
SC1,Flowering,Chl,8,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,孕穗末期,
SO1,Flowering,Chi,64,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,孕穗末期,
SO1,Flowering,Chl,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,孕穗末期,
SO1,Flowering,Eph,2,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,渚蠅科,Ephydridae,中性物種,孕穗末期,
SO1,Flowering,SCA,1,Neutral,Detritivores,20170608,2017,雙翅目,Diptera,黑翅蕈蚋科,Sciaridae,中性物種,孕穗末期,
MC1,Ripening,Atm,2,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,小花蠅科,Anthomyzidae,中性物種,黃熟期,
MC1,Ripening,Chi,65,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,搖蚊科,Chironomidae,中性物種,黃熟期,
MC1,Ripening,Chl,3,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,稈蠅科,Chloropidae,中性物種,黃熟期,
MC1,Ripening,Lau,1,Neutral,Detritivores,20170626,2017,雙翅目,Diptera,縞蠅科,Lauxaniidae,中性物種,黃熟期,
LC1,Flowering,Ich,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,孕穗期,
LO1,Flowering,BET,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,蟻形蜂科,Bethylidae,擬寄生者,孕穗期,
LO1,Flowering,Bra,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,小繭蜂科,Braconidae,擬寄生者,孕穗期,opius
LO1,Flowering,Ich,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,孕穗期,
LO1,Flowering,Myr,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,纓小蜂科,Mymaridae,擬寄生者,孕穗期,葉蟬纓小蜂
MC1,Flowering,Bra,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,小繭蜂科,Braconidae,擬寄生者,抽穗期,opius
MC1,Flowering,Eul,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,釉小蜂科,Eulophidae,擬寄生者,抽穗期,螟卵齒小蜂
SC1,Flowering,Cha,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,小蜂科,Chalcididae,擬寄生者,孕穗期,
MO1,Flowering,Sce,3,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,緣腹細蜂科,Scelionidae,擬寄生者,抽穗期,粒卵蜂
MO1,Flowering,Trc,4,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,赤眼蜂科,Trichogrammatidae,擬寄生者,抽穗期,
LC1,Ripening,Ich,2,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,乳熟期,
LO1,Ripening,Pte,1,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,乳熟期,稻蝨食卵金小蜂
LO1,Seedling,Pho,1,Parasitoid,Parasitoid,20170318,2017,雙翅目,Diptera,蚤蠅科,Phoridae,擬寄生者,未插秧,
LO1,Seedling,Tac,2,Parasitoid,Parasitoid,20170318,2017,雙翅目,Diptera,寄生蠅科,Tachinidae,擬寄生者,未插秧,Argrophylax
SC1,Seedling,Tac,1,Parasitoid,Parasitoid,20170318,2017,雙翅目,Diptera,寄生蠅科,Tachinidae,擬寄生者,未插秧,Argrophylax
SO1,Seedling,Tac,1,Parasitoid,Parasitoid,20170318,2017,雙翅目,Diptera,寄生蠅科,Tachinidae,擬寄生者,未插秧,Argrophylax
LC1,Tillering,Eul,1,Parasitoid,Parasitoid,20170417,2017,膜翅目,Hymenoptera,釉小蜂科,Eulophidae,擬寄生者,分?始期,
LO1,Tillering,Cep,1,Parasitoid,Parasitoid,20170417,2017,膜翅目,Hymenoptera,蛛卵蜂科,Ceraphronidae,擬寄生者,分?始期,Aphanogmus
MC1,Tillering,Pho,1,Parasitoid,Parasitoid,20170417,2017,雙翅目,Diptera,蚤蠅科,Phoridae,擬寄生者,分?始期,
MO1,Tillering,Sce,1,Parasitoid,Parasitoid,20170417,2017,膜翅目,Hymenoptera,緣腹細蜂科,Scelionidae,擬寄生者,分?始期,粒卵蜂
LO1,Tillering,Tac,1,Parasitoid,Parasitoid,20170502,2017,雙翅目,Diptera,寄生蠅科,Tachinidae,擬寄生者,分?盛期,Argrophylax
MO1,Tillering,Tac,1,Parasitoid,Parasitoid,20170502,2017,雙翅目,Diptera,寄生蠅科,Tachinidae,擬寄生者,分?盛期,Argrophylax
SC1,Tillering,Ich,1,Parasitoid,Parasitoid,20170502,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,分?盛期,
LC1,Tillering,Cha,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,小蜂科,Chalcididae,擬寄生者,分?終期,
LO1,Tillering,Eul,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,釉小蜂科,Eulophidae,擬寄生者,分?終期,螟卵齒小蜂
MC1,Flowering,Eul,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,釉小蜂科,Eulophidae,擬寄生者,幼穗形成,螟卵齒小蜂
MC1,Flowering,Pte,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,幼穗形成,稻蝨食卵金小蜂
MO1,Tillering,Pho,2,Parasitoid,Parasitoid,20170512,2017,雙翅目,Diptera,蚤蠅科,Phoridae,擬寄生者,分?終期,
MO1,Tillering,Pte,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,分?終期,稻蝨食卵金小蜂
SC1,Tillering,Pho,1,Parasitoid,Parasitoid,20170512,2017,雙翅目,Diptera,蚤蠅科,Phoridae,擬寄生者,分?終期,
SO1,Tillering,Pte,1,Parasitoid,Parasitoid,20170512,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,分?終期,稻蝨食卵金小蜂
MO1,Flowering,Bra,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,小繭蜂科,Braconidae,擬寄生者,幼穗分化,opius
MO1,Flowering,Pte,1,Parasitoid,Parasitoid,20170526,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,幼穗分化,Trichomalopsis
MC1,Flowering,Ich,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,齊穗期,
MC1,Flowering,Sce,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,緣腹細蜂科,Scelionidae,擬寄生者,齊穗期,粒卵蜂
MO1,Flowering,BET,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,蟻形蜂科,Bethylidae,擬寄生者,幼穗分化,縱卷葉螟腫腿蜂
MO1,Flowering,Cep,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,分盾細蜂科,Ceraphronidae,擬寄生者,幼穗分化,
MO1,Flowering,Eul,2,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,釉小蜂科,Eulophidae,擬寄生者,幼穗分化,螟卵齒小蜂
MO1,Flowering,Myr,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,纓小蜂科,Mymaridae,擬寄生者,幼穗分化,葉蟬纓小蜂
MO1,Flowering,Pte,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,金小蜂科,Pteromalidae,擬寄生者,幼穗分化,稻蝨食卵金小蜂
MO1,Flowering,Sce,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,緣腹細蜂科,Scelionidae,擬寄生者,幼穗分化,粒卵蜂
SC1,Flowering,Eup,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,旋小蜂科,Eupelmidae,擬寄生者,孕穗末期,旋小蜂屬
SC1,Flowering,Myr,1,Parasitoid,Parasitoid,20170608,2017,膜翅目,Hymenoptera,纓小蜂科,Mymaridae,擬寄生者,孕穗末期,葉蟬纓小蜂
MC1,Ripening,Ich,1,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,姬蜂科,Ichneumonidae,擬寄生者,黃熟期,
MC1,Ripening,Trc,4,Parasitoid,Parasitoid,20170626,2017,膜翅目,Hymenoptera,赤眼蜂科,Trichogrammatidae,擬寄生者,黃熟期,
LC1,Flowering,Cer,4,Predator,Predators,20170526,2017,雙翅目,Diptera,蠓科,Ceratopogonidae,掠食者,孕穗期,尼蠓
LO1,Flowering,Ara,1,Predator,Predators,20170526,2017,蜘蛛目,,金蛛科,Araneidae,掠食者,孕穗期,
LO1,Flowering,Ara,1,Predator,Predators,20170526,2017,蜘蛛目,,袋蛛科,Clubionidae ,掠食者,孕穗期,
LO1,Flowering,Ara,1,Predator,Predators,20170526,2017,蜘蛛目,,貓蛛科,Oxyopidae,掠食者,孕穗期,
LO1,Flowering,Ara,3,Predator,Predators,20170526,2017,蜘蛛目,,蟹蛛科,Thomisidae,掠食者,孕穗期,
LO1,Flowering,Cer,19,Predator,Predators,20170526,2017,雙翅目,Diptera,蠓科,Ceratopogonidae,掠食者,孕穗期,尼蠓
LO1,Flowering,For,1,Predator,Predators,20170526,2017,膜翅目,Hymenoptera,蟻科,Formicidae,掠食者,孕穗期,黑棘蟻
LO1,Flowering,Sta,1,Predator,Predators,20170526,2017,鞘翅目,Coleoptera,隱翅蟲科,Staphylinidae,掠食者,孕穗期,
MC1,Flowering,Cer,1,Predator,Predators,20170526,2017,雙翅目,Diptera,蠓科,Ceratopogonidae,掠食者,抽穗期,尼蠓
